Run,SampleName,LibraryName,AssayType
SRX34431603,PolII ChIP 3xFP-NLS EST rep1,IP_3225_EST_1,ChIP-Seq
SRX34431621,PolII ChIP 3xFP-NLS EST rep2,IP_3225_EST_2,ChIP-Seq
SRX34431623,PolII ChIP 3xFP-NLS EST rep3,IP_3225_EST_3,ChIP-Seq
SRX34431624,PolII ChIP 3xFP-NLS EtOH rep1,IP_3225_EtOH_1,ChIP-Seq
SRX34431625,PolII ChIP 3xFP-NLS EtOH rep2,IP_3225_EtOH_2,ChIP-Seq
SRX34431604,PolII ChIP 3xFP-NLS EtOH rep3,IP_3225_EtOH_3,ChIP-Seq
SRX34431615,PolII ChIP empty EST rep1,IP_3229_EST_1,ChIP-Seq
SRX34431616,PolII ChIP empty EST rep2,IP_3229_EST_2,ChIP-Seq
SRX34431622,PolII ChIP empty EST rep3,IP_3229_EST_3,ChIP-Seq
SRX34431646,PolII ChIP empty EtOH rep1,IP_3229_EtOH_1,ChIP-Seq
SRX34431626,PolII ChIP empty EtOH rep2,IP_3229_EtOH_2,ChIP-Seq
SRX34431627,PolII ChIP empty EtOH rep3,IP_3229_EtOH_3,ChIP-Seq
SRX34431628,PolII ChIP 3xFP-NES EST rep1,IP_3506_EST_1,ChIP-Seq
SRX34431629,PolII ChIP 3xFP-NES EST rep2,IP_3506_EST_2,ChIP-Seq
SRX34431630,PolII ChIP 3xFP-NES EST rep3,IP_3506_EST_3,ChIP-Seq
SRX34431631,PolII ChIP 3xFP-NES EtOH rep1,IP_3506_EtOH_1,ChIP-Seq
SRX34431547,PolII ChIP 3xFP-NES EtOH rep2,IP_3506_EtOH_2,ChIP-Seq
SRX34431548,PolII ChIP 3xFP-NES EtOH rep3,IP_3506_EtOH_3,ChIP-Seq
SRX34431549,Input ChIP 3xFP-NLS EST rep1,input_3225_EST_1,ChIP-Seq
SRX34431550,Input ChIP 3xFP-NLS EST rep2,input_3225_EST_2,ChIP-Seq
SRX34431551,Input ChIP 3xFP-NLS EST rep3,input_3225_EST_3,ChIP-Seq
SRX34431552,Input ChIP 3xFP-NLS EtOH rep1,input_3225_EtOH_1,ChIP-Seq
SRX34431553,Input ChIP 3xFP-NLS EtOH rep2,input_3225_EtOH_2,ChIP-Seq
SRX34431632,Input ChIP 3xFP-NLS EtOH rep3,input_3225_EtOH_3,ChIP-Seq
SRX34431633,Input ChIP empty EST rep1,input_3229_EST_1,ChIP-Seq
SRX34431634,Input ChIP empty EST rep2,input_3229_EST_2,ChIP-Seq
SRX34431635,Input ChIP empty EST rep3,input_3229_EST_3,ChIP-Seq
SRX34431636,Input ChIP empty EtOH rep1,input_3229_EtOH_1,ChIP-Seq
SRX34431637,Input ChIP empty EtOH rep2,input_3229_EtOH_2,ChIP-Seq
SRX34431638,Input ChIP empty EtOH rep3,input_3229_EtOH_3,ChIP-Seq
SRX34431569,Input ChIP 3xFP-NES EST rep1,input_3506_EST_1,ChIP-Seq
SRX34431570,Input ChIP 3xFP-NES EST rep2,input_3506_EST_2,ChIP-Seq
SRX34431571,Input ChIP 3xFP-NES EST rep3,input_3506_EST_3,ChIP-Seq
SRX34431572,Input ChIP 3xFP-NES EtOH rep1,input_3506_EtOH_1,ChIP-Seq
SRX34431573,Input ChIP 3xFP-NES EtOH rep2,input_3506_EtOH_2,ChIP-Seq
SRX34431574,Input ChIP 3xFP-NES EtOH rep3,input_3506_EtOH_3,ChIP-Seq
