Sample	IP_Sc	IP_Cg	IP_Plasmid(2089-4630)	Input_Sc	Input_Cg	Input_Plasmid(2089-4630)	Occupancy_Ratio
3225_EST_1	54161697	44537644	8638340	54296566	57870279	2513901	1.43635
3225_EST_2	50603228	48287169	7748223	46835593	55334170	2170551	1.36447
3225_EST_3	52832561	50871706	8248635	43329649	54449547	2063151	1.44025
3225_EtOH_1	61511707	52104890	2342447	39748712	52913158	1908482	1.55663
3225_EtOH_2	63976647	52432523	2509274	47623809	61440435	2323268	1.55982
3225_EtOH_3	66315386	58380462	2507436	36209553	54019497	1726648	1.67866
3229_EST_1	75634546	54746200	982	43474474	44753052	216	1.42219
3229_EST_2	61192847	42946813	16523	46385728	49973636	239	1.53547
3229_EST_3	54465219	41697344	848	47323928	52000078	280	1.43529
3229_EtOH_1	60816831	44895691	1167	48326197	54124496	398	1.51717
3229_EtOH_2	67251201	49290228	861	50066781	52725287	257	1.43685
3229_EtOH_3	68536855	48388020	1208	44746557	49673442	184	1.57238
3506_EST_1	27849795	80445649	6974345	23282637	75548465	972663	1.34833
3506_EST_2	26240888	86647489	6675876	19040270	74038657	795387	1.41799
3506_EST_3	30289460	86240234	7584062	24102131	80099442	1010160	1.40078
3506_EtOH_1	65545650	42519569	3010223	52130236	49499883	2757222	1.45408
3506_EtOH_2	66184129	45958672	3163959	39043164	38308137	2181541	1.40217
3506_EtOH_3	62622818	41084077	2951687	56108021	51942433	2928382	1.40431
