"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX7477474","GSM4238204: S8_2; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina Genome Analyzer II","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921087","","381.71","1","15035629","541282644","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477473","GSM4238203: S8_1; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina Genome Analyzer II","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921086","","372.49","1","14755082","531182952","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477472","GSM4238202: S4_2; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina Genome Analyzer II","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921085","","270.12","1","10627923","382605228","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477471","GSM4238201: S4_1; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina Genome Analyzer II","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921084","","178.12","1","7333933","264021588","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477470","GSM4238200: S16; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina Genome Analyzer II","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921083","","209.55","1","8408805","302716980","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477469","GSM4238199: niche2; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina HiSeq 2500","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921082","","300.16","1","10870601","543530050","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477468","GSM4238198: niche1; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina HiSeq 2500","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921081","","244.42","1","10250514","369018504","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477467","GSM4238197: LC2_2; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina HiSeq 2500","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921080","","654.46","1","25723705","1286185250","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477466","GSM4238196: LC2_1; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina HiSeq 2500","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921079","","691.57","1","27081215","1354060750","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477465","GSM4238195: LC1_3; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina HiSeq 2500","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921078","","179.78","1","5902085","295104250","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477464","GSM4238194: LC1_2; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina HiSeq 2500","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921077","","314.35","1","10462563","523128150","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477463","GSM4238193: LC1_1; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina HiSeq 2500","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921076","","532.28","1","17639912","881995600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477462","GSM4238192: GB2; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina Genome Analyzer II","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921075","","185.19","1","7561213","272203668","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477461","GSM4238191: GB1; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina Genome Analyzer II","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921074","","210.61","1","8727415","314186940","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477460","GSM4238190: EC3; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina HiSeq 2500","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921073","","116.16","1","3821308","191065400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477459","GSM4238189: EC2; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina HiSeq 2500","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921072","","353.66","1","11709513","585475650","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477458","GSM4238188: EC1; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina HiSeq 2500","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921071","","117.58","1","3887773","194388650","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477457","GSM4238187: aly2; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina Genome Analyzer II","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921070","","417.13","1","18242138","912106900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7477456","GSM4238186: aly1; Drosophila melanogaster; RNA-Seq","Drosophila melanogaster","Illumina Genome Analyzer II","GEO","SRP239059","Single-cyst transcriptome analysis of Drosophila male germline stem cell","SRS5921069","","342.94","1","14992965","749648250","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
