"","cdc28_13_37_2h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep3_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep3_Aligned.sortedByCoord.out.bam","WT_37_2h_rep1_Aligned.sortedByCoord.out.bam","WT_37_2h_rep2_Aligned.sortedByCoord.out.bam","WT_37_2h_rep3_Aligned.sortedByCoord.out.bam","WT_37_8h_rep1_Aligned.sortedByCoord.out.bam","WT_37_8h_rep2_Aligned.sortedByCoord.out.bam","WT_37_8h_rep3_Aligned.sortedByCoord.out.bam"
"YDL246C",1.5,4,1,26,14.5,14.17,1.5,2.5,1.5,0,3.5,0.5
"YDL243C",2.25,0.25,2,5.25,2.75,6,4.5,0.83,0.33,2.2,2.08,1.33
"YDR387C",3,3,12,3,2,1,6,10,2,2,7,0
"YDL094C",6,5.5,6,3,2,2,9,8.5,8,3.5,1.5,3
"YDR438W",6,1,3,2,0,1,3,3,2,6,2,3.25
"YDR523C",3,0,1,4,6,5,2,1,2,0.1,1,4
"YDR542W",0.28,0,0.5,0.2,0.12,0.11,0,0,0.45,0.11,0,0.1
"YDR492W",16.5,15.5,15,10,12.5,11,21.5,30,7,28,37.5,24
"YDR018C",0,1,4,5,2,1,0,2,6,1,3,0
"YDL189W",10,10,19,5,5,4,14,22,13,14,21,17
"YDR508C",54,57,56.5,13,12,9,67,80,54,56.5,90.5,75.67
"YDR462W",3,3,6,3,2,3,4,3,4,1,6,5
"YDR175C",7,8,10,2,0,0,8,7,6,8,16,9
"YDR186C",24,34,27,58.5,35,39,40,50,33,44,51,37
"YDR150W",64,60.67,69.14,36,18.5,23.5,101,105,83.57,95.75,108,124.62
"YDR243C",8,11,7,3,1,4,9,10,15.17,10,7,8
"YDL182W",28.5,26,20.25,9.5,4.5,12.5,17,28.5,22,25.5,17,30.5
"YDR362C",6,11,10,7,6,1,9,10,5,3,6,1
"YDR232W",65,49,42,19,10,7,45,54,40,55,70,73
"YDR158W",61,77,89,7,12,6,85,60,50.17,90,94,103
"YDR439W",4,8,9,4,1,4,5,3,5,5,9,7
"YDL206W",17,6,9,8,13,8,7.25,13,7,10,11,7
"YDR125C",7,6,4,16,16,13,1,2,5,7,7,1
"YDR338C",8,10.61,6,8,3,6,5,9,10,9,9,5
"YDR526C",4,1.5,3,1,1,1,2.5,3,2.5,2,4,3
"YDR533C",4,8,5,79,72.5,78,3,9,6,3,5,6
"YDR272W",14,20.5,20,26,16,9,10,16,7,12,17,13
"YDR197W",10.74,13.45,13.32,6.17,1,5.83,10.71,5.92,9,12.83,9.73,11.71
"YDR512C",5,4,6.5,1,1,2,7,7,4,4,7,4
"YDR489W",5.5,5,5.5,1,1,2,5,6.25,4,7,7,8
"YDR299W",35,32,26,9,6,2,28,34,24,25,39,28
"YDL015C",32,35,31,10,11,5,31,30,27,30,35,35
"YDR304C",38,34,32.5,10,11,6,25,32,30,28.5,38,27
"YDR271C",1.5,0,0.5,0,1,1.5,0,0.5,0.5,0,1.17,0.17
"YDL181W",6,4,10,3,2,1,13,8,4,13,1,11
"YDR367W",10,9,12,1,1,1,8,9,8,11,9,11.5
"YDR085C",25,26,26,29,20,17.5,12,20,19,11,12,15
"YDL097C",54,34,38,14,17,10,46,51,27,42,49,48
"YDL139C",1,4,1,11,5,6,3,6,1,1,0,1
"YDR200C",11.41,9.42,9.45,9.68,10.58,7.17,10.67,6.5,9.57,10.1,8.5,13.61
"YDR191W",2,3,1,1,3,1,4,4,0,3,1,3
"YDR451C",2,0,4,1,0,1,2,8,3,5,5,13
"YDR469W",7,5,2,1,2,3,5,8,3,5,11,6
"YDR470C",11,12,15,1,2,4,8,13,7,13,8,3
"YDR105C",5,10,13,2,0,3,12,9,6,4,15,11
"YDR483W",61,67,48,35,12,12,56,77,54,58,77.5,64.5
"YDL123W",2,1,1,1,3,5,0,4,1,3,2,4
"YDL199C",3,3,3,4,7,5,5,6,6,2,7,6
"YDR505C",19,35,29,42,24,30,38,36.5,26,38.75,40,33
"YDL045W-A",3,5,5,0,1,3,3,6,3,4,5,5
"YDL045C",3,14,5,4,3,7,6,8,5,4,8,4
"YDR361C",16,17.17,17,2,2,5,13.06,14,15,18,21,19
"YDR406W-A",0.5,1,1.5,1,1.5,0.5,2,1,2,1,0,2.5
"YDR199W",3,1,3,1.5,1,0,0.5,1.5,0.5,5.5,2.5,1.5
"YDR266C",26,31,37,19,15,4,27,39,20.5,40,26,23.12
"YDL242W",2,0,1,1,1,0,0,0,0,0,0,0
"YDR002W",48,51,48,14,10,8,43,52,46,51,60,75
"YDR214W",100,75,91,57,59,56,63,81,75,67,74,71
"YDR130C",3,5,1,2,2,1,3,3,2,2,4,4
"YDL176W",4,8,4,6,2,3,6,5,3,2,8,3
"YDR358W",8,2,6,17,8,9,6,6,3,3,7,5
"YDR544C",0,0,0.12,0.12,1,0,0,0,0,0,0.61,0
"YDR460W",7,5,6,6,4,4,1,5,6,8,8.6,11.55
"snR84",87,119,112,149,96,142,111,127.75,97,118,136,123
"YDR034W-B",1,1,1,15,10,17,0,0,0,0,0,1
"YDL028C",8,13,12,16,16,12,10,19,11.5,14,16,15
"YDR061W",12,13,13,6,3,5,12,17,17,11,6,8
"YDR060W",88,91,75,9,6,7,71,108,74.5,103,126,113
"YDR169C-A",1,0,0,0,0,0,0,0,0,0,0,0
"YDR363W",10,10,10,6,8,4,6,10,4,11,6,8
"YDR422C",18,18,23,11,5,4,20,22,14,10,29,22
"YDR119W",42,30,37,4,5,2,42,40,37,47,40,40
"tR(ACG)D",1.46,0.4,0.4,0.4,0.4,0.12,0.9,0.4,0,1,1.6,0.6
"YDR097C",14.11,15,14,9.25,4,9,17,35,32,25,26,40
"YDR042C",1,3,2,4,1,0,3,1,2,0,0,2
"YDL160C",21,22,32,10,5,10,39,29,30,26,40,41
"YDR425W",5,7.5,6.5,11,4.5,9.5,2.5,7,6.5,4,3.5,8
"snR13",152,183,195,235,148,202,151.75,195.75,97,168.75,154,141.75
"YDR228C",8,6,15,4,2,3,10,21,6,12,26,15
"YDR319C",6,6,2,1,3,0,7,2,4,6,3,5
"YDR471W",66.5,49,73,4.5,6,8,78.5,94,63.5,86,114.5,84.5
"YDR089W",12,7,6,8,7,5,10,14,21,8,12,12
"tD(GUC)D",0.31,0.75,0.31,0.5,0.25,0,0.12,0.77,0.25,0.22,1.47,0
"YDR275W",3,7,7,0,2,3,9,2,2,5,12,4
"YDR043C",15,8,10,20,13,15,4,8,8,13,10,4
"YDR129C",49,59.5,61,61,58,47,50,73,63,57,60,60
"YDR136C",0,0,0,0,0,0,0,0,0,0,0,1
"YDL066W",87,89,69,37,29,33,65,57,46,50,68,71
"YDR302W",6,4,7,2,1,2,8,7,1,2,9,6
"YDR239C",11,14,11,6,7,10,10,18,9,6,18,14
"YDR539W",16,12,15,4,6,6,23,13,6,13,14,12
"tK(CUU)D1",0,0,0,0,0,0,0,0,0,0,0,0
"YDL125C",19,19,13,12,10,8,14,13,19,18,21,18
"YDR493W",2,4,11,4,1,1,4,7,3,4,9,3
"YDR101C",52,58,46,7,5,2,50,82,49,62,72,98
"YDR182W-A",1,0,1,1,0,0,3,1,2,2,0,0
"YDR212W",47,36,38,12,12,5,56,58,51,42,52,50
"YDR476C",3,4,5,6,3,4,7,2,9,6,5,8
"YDL131W",36.5,44,46.25,9.5,9.5,11.5,31.25,39.5,30,36.5,29,40.5
"YDR458C",23,19,12,13,11,3,23,10,14,30,18,12
"YDR081C",12,12,22,4,9,7,12,19,7,17,27,27
"YDL071C",0,2.5,1,0,0,0,0,0,0,0,1,0
"YDR113C",2,1,1.17,2,0,1,4.5,3,6,8,9,4
"YDR168W",34,39,36,9,12.06,4,22,34,24,22,25,30.06
"YDR520C",8.5,5,5,8,2,3,3.5,12,11,6,5,1.5
"YDR307W",11,8,9,7,2,2,11,12,12,8,12,13
"YDR265W",4,2,2,2,0,2,1,4,6,5,4,5
"YDL076C",6,3,3,9,6,2,4,15,6,4,6,12
"YDL006W",6,9,6,4,3,1,7,9,5,2,7,16
"YDL086W",17,18,18.5,7,3,4.5,15,21.5,15.5,13.5,11,19.5
"YDR238C",87,71.94,78.85,18,15.1,12,93,112,87,77.75,100,98
"YDR077W",941.25,1001.75,1049.75,1182.5,856.25,835,708,845.75,706.75,617.67,768.75,709.42
"YDR381C-A",3,5,3,3,3,1,2,5,1,6,6,5
"YDL023C",3,2.5,6,5.5,5,2.5,3,3.5,4.5,2,3.5,3
"YDL083C",100,94,96,4.5,6.5,3.5,111.5,136,98,113,169.5,115.5
"YDR036C",13,8,13,6,6,2,11.5,15,10,9,12,12
"YDR057W",13,8,14.06,11,7,4,7,14,6,12,12,8
"YDR513W",9,15,16.5,19,20,22,17,16,11,13,15,16
"YDR487C",25,29,15,13,11,15,15,35,26,18,38,19
"YDR066C",3,3,3,1,2,2,2,0,2,4,2,4
"YDR352W",8,10,7,6,1,2,9,12,7,11,12,20
"YDR278C",26.21,29.75,23.38,18.5,17.84,9.58,20.46,18.67,13.04,20.67,21.42,33.25
"YDR079C-A",1,1,0,1,0,0,0,0,1,4,2,0
"YDR204W",11,5,3,11.5,7,5,8,10,6,6,5,5
"YDL247W-A",0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,1.5,0
"YDL024C",4,5.62,4.5,29.5,21,15,2.5,4.67,0.25,2,1.88,4
"tA(AGC)D",0,0,0,0,0,0,0,0,0,0,0,0
"YDR109C",8,9,9,10.83,2,2,5,9,9,10,5,7
"YDR466W",16.5,10.5,10.5,10,10,8,16.25,13,23,26.5,31,29
"YDR427W",39,22,31,4,5,7,25,33,13,18,29,27
"YDL044C",4,7,9,3,0,3,5,3,10,7,5,6
"YDL079C",6,5,3,10,8,7,2,1,4,8,8,2
"YDR193W",0.5,1,0,1.5,1,1,0.5,2,0,0,0.5,1
"YDR305C",4,6,2,0,1,0,9,2,2,8,6,3
"YDR377W",8.39,13.74,11.25,8.25,4.5,6,12.25,12.17,7.17,7.25,11.08,14.05
"YDR219C",11,8,7,10,7,5,8,6,8,8,11,7
"YDR416W",20,9,14,7,4,3.25,5,16,10,12,10,10
"YDR365C",36.06,29,45,8,4,6,44,41.08,44.25,36,62,71
"YDL233W",7,5,10,10,9,5,5,5,4,7,7,9
"YDR287W",5,5,7,9,5,7,8,7,4,7,9,3
"YDR448W",8,0,3,6,4,9,11,6,4,6,4,7
"YDR180W",26,18,17,9,6,7,14,20,21,23,22,31.25
"tF(GAA)D",0,0,1,0,1,0,0,1,0,1,1,0
"tT(AGU)D",0,0,0,0,0,0,0,0,0,0,0,0
"YDR294C",30,27,41,48,26,25.67,26,42,19,31,46.5,25.08
"YDR198C",8,4,7,3,0,2.5,9,5,8,7,10,16
"YDL163W",0,0.5,1,0,0.5,0,1,0.5,2,0,0,1
"YDL119C",1,7.5,7.5,5,2.5,6,5,5.5,3.5,3,5.5,0.5
"YDR501W",4,5,3.25,0,0,1.25,4,10,3,7,6,4
"YDL214C",3,2,3,14,11,6,5,3,4,2,2,0
"YDR264C",35,20.88,25,8,8,9,38,53,30.5,44,43,50
"YDR343C",61.08,74.67,104.5,408.12,290.5,326.75,45.17,57.5,47.92,59.42,54.08,56
"YDR373W",12,16,10,2,10,6,9,16,11,11,4,9
"YDR354W",14,10.5,9,1.33,3,1,12,12.5,9.83,11,14.83,12
"YDR246W",7,6,6,1,3,1,5,7,3,5,4,11.75
"YDR428C",8,9,14,1,0,1,8,8,10,5,7,12
"YDR157W",2,4,1,1,1,0.5,6.5,3.5,3,9,4,7
"YDR316W",5,14,21,7,10,6,7,14,8,9,17,11
"YDL142C",0,2,2,3,2,0,2,2,3,6,3,5
"YDR253C",1,2,5,3,1,2,6,3,3,3,2,2
"YDL112W",39,38,47,6,5,8,56,59,45,60,55,56
"YDR545W",4.03,4.19,3.65,1.62,1.76,1.99,3.61,6.75,4.07,4.94,6.31,5.36
