"","cdc28_13_37_2h_rep1","cdc28_13_37_2h_rep2","cdc28_13_37_2h_rep3","cdc28_13_37_8h_rep1","cdc28_13_37_8h_rep2","cdc28_13_37_8h_rep3","WT_37_2h_rep1","WT_37_2h_rep2","WT_37_2h_rep3","WT_37_8h_rep1","WT_37_8h_rep2","WT_37_8h_rep3","Total_Count","Mean_Count"
"RDN37-2",1265856.72,1228120.04,1313250.13,1331123.05,996158.79,1069256.42,1163003.78,1365397.19,1099505.17,1147220.11,1421622.11,1321379.48,14721892.99,1226824.41583333
"RDN37-1",1181558.29,1144554.21,1225524.16,1240252.4,929231.23,995493.54,1088208.75,1276285.63,1029036.04,1072002.02,1327981.7,1235192.6,13745320.57,1145443.38083333
"RDN25-2",811435.94,788614.12,838888.18,838695.17,630853.65,672342.45,747579.14,877446.65,704640.63,724611.82,897842.98,841155.81,9374106.54,781175.545
"RDN25-1",739767.04,719117.06,764693.13,767060.25,577320.7,613142.2,684189.42,800125.77,644825.56,662236.79,818970.4,768649.68,8560098,713341.5
"RDN18-2",438599.9,422042.41,457529.58,461088.42,342835.91,366934.55,402221.96,472260.4,383240.85,405634.27,506782.83,464192.05,5123363.13,426946.9275
"RDN18-1",431240.57,413893.76,449599.66,452427.93,336922.61,362362.19,395207.41,465689.46,376485.25,398438.24,497770.13,455889,5035926.21,419660.5175
"YLR154W-C",90314.04,87673.07,93909.31,94168,70925.19,74559.47,82373.92,97271.26,77997.77,80862.03,102276.41,92502.3,1044832.77,87069.3975
"YLR154W-A",50996.79,48714.1,53172.68,51603.47,38980.66,41106.17,45771.61,53979.58,44595.89,45043.67,55908.46,52094.1,581967.18,48497.265
"YLR154C-G",27316.71,26335.21,27742.44,28526.81,21588.8,22771.43,26013.12,30360.14,24508.93,24854.91,32789.87,28712.91,321521.28,26793.44
"YLR154W-B",28014.15,29038.84,28754.02,27627.04,19992.98,21516.95,24155.66,30607.9,22275.69,25591.52,31514.13,29636.98,318725.86,26560.4883333333
"YLR162W-A",24202.52,24971.51,26560.21,23439.64,17648.21,18506.07,21031.85,24897.82,19187.05,21132.73,25437.48,25046.41,272061.5,22671.7916666667
"RDN58-2",15892.28,18164.52,16836.75,32295.74,22477.11,29991.9,13210.49,15705.47,11725.02,16976.65,17303.56,16168.65,226748.14,18895.6783333333
"YLR154W-F",15862.16,16016.99,16114.45,16151.92,11951.72,13158.31,14430.31,17309.35,13621.12,14919.69,18911.32,16970.01,185417.35,15451.4458333333
"YLR154W-E",10659.09,12148.4,11288.86,21567.08,15017.3,20016.31,8881.3,10541.12,7881.57,11394.87,11637.39,10865.74,151899.03,12658.2525
"RDN58-1",10604.51,12124.28,11235.6,21538.74,14995.72,19999.46,8818.21,10482.98,7826.16,11329.53,11548.47,10791.15,151294.81,12607.9008333333
"YLR162W",8549.84,8423.88,7943.18,9324.14,6853.48,7895.63,7482.87,9217.9,6851.55,7972.4,10167.15,8818.11,99500.13,8291.6775
"SCR1",4978.5,4784,4792.25,7694.17,5874.25,7400.58,5203.33,6128.25,4852,5458.5,6287.5,5273.5,68726.83,5727.23583333333
"RDN5-1",4225.07,5278.72,4740.1,5684.22,3511.74,4050.89,3478.13,4015.23,2685.41,4533.29,4642.04,4130.21,50975.05,4247.92083333333
"RDN5-6",4211.08,5264.06,4727.22,5670.21,3505.23,4045.59,3466.48,4004.99,2677.54,4525.68,4627.92,4115.62,50841.62,4236.80166666667
"Q0158",3792,3625.5,4014.5,6257.5,4554.25,5471.5,2934,3485,2726.5,3793.5,4063,3860,48577.25,4048.10416666667
"LSR1",2478.83,2394.5,2727.35,5990.67,4760,6238.67,2446.25,3005,2324,2968.75,3411.92,2830.42,41576.36,3464.69666666667
"YLR044C",2829.06,2837.26,2956.79,1072.74,795.14,845.41,3032.74,3477.32,2756.33,2911.78,3628.61,3346.93,30490.11,2540.8425
"ETS1-2",2284.83,2168.19,2286.52,2506.52,1879.09,1932.62,2469.17,2922.8,2165.27,2601.13,3321.31,2856.45,29393.9,2449.49166666667
"ETS1-1",2285.05,2167.64,2286.52,2506.45,1879.02,1932.53,2468.46,2922.58,2165.31,2601.63,3321.38,2856.27,29392.84,2449.40333333333
"snR17a",2107,1995.5,2090.25,2266.67,1622.5,1721.25,2119.75,2549.5,1899,2565.25,2880.5,2575.37,26392.54,2199.37833333333
"RDN5-2",2098.62,2615.38,2358.29,2818.1,1742.96,2012.77,1724.5,1991.97,1333.73,2249.4,2299.47,2050.32,25295.51,2107.95916666667
"YLR154C-H",2097.62,2615.63,2357.79,2818.1,1742.96,2012.77,1724.37,1991.47,1333.23,2248.9,2299.47,2049.32,25291.63,2107.63583333333
"YLR156C-A",2097.53,2615.31,2357.17,2818.1,1742.37,2012.68,1723.75,1990.85,1332.69,2248.61,2297.68,2048.86,25285.6,2107.13333333333
"RDN5-3",2097.53,2615.06,2357.17,2818.1,1742.37,2012.68,1723.75,1990.85,1332.69,2248.61,2297.68,2048.86,25285.35,2107.1125
"RDN5-4",2097.19,2614.67,2357.23,2818.07,1742.26,2012.32,1723.34,1990.36,1332.74,2248.57,2297.94,2048.33,25283.02,2106.91833333333
"RDN5-5",2097.19,2614.54,2357.23,2818.07,1742.26,2012.32,1723.34,1990.42,1332.74,2248.57,2297.98,2048.33,25282.99,2106.91583333333
"YLR157C-C",2097.19,2614.92,2357.23,2818.07,1742.26,2012.32,1723.34,1990.36,1332.74,2248.57,2297.62,2048.33,25282.95,2106.9125
"YLR159C-A",2097.19,2614.79,2357.23,2818.07,1742.26,2012.32,1723.34,1990.42,1332.74,2248.57,2297.65,2048.33,25282.91,2106.90916666667
"YGR192C",2106,2006.67,2096.67,825.17,621.04,621,2140.53,2515.83,2029.25,2572.7,3179.16,2979.92,23693.94,1974.495
"ITS1-2",1765.61,1656.91,1695.57,1236.43,975.9,983.43,1799.75,2044.05,1603.36,1817.23,2297.86,2121.98,19998.08,1666.50666666667
"Q0020",1829.75,1596.9,1816,2124.25,1464,1661.5,1328,1603,1209.5,1432.5,1424,1460.83,18950.23,1579.18583333333
"YBR118W",1699.58,1694.25,1821.06,517.5,349.5,367,1874.5,2220.12,1783.46,1897.08,2477.83,2227.74,18929.62,1577.46833333333
"YPR080W",1733.5,1675.67,1839.93,492.5,326.17,357,1880.5,2213.92,1759.58,1878.37,2447.58,2233.42,18838.14,1569.845
"ITS2-2",1612.67,1531.31,1527.41,847.99,644.21,663.33,1634.59,2020.52,1601.67,1608.91,2114.17,1817.06,17623.84,1468.65333333333
"ITS2-1",1610.89,1529.28,1525.45,846.16,643.21,662.41,1632.76,2018.34,1599.94,1606.82,2111.71,1814.96,17601.93,1466.8275
"ITS1-1",1452.01,1378.21,1388.9,1017.08,805.23,813.67,1478.86,1689.42,1320.75,1512,1895.14,1751.22,16502.49,1375.2075
"YHR174W",1586.14,1619.5,1700.8,401.17,267.5,295.75,1404.94,1520.94,1270.5,1642.5,1956.75,1854.83,15521.32,1293.44333333333
"YLR249W",1337.25,1318.92,1356.54,307.54,194.61,207.3,1411.78,1575.52,1342.32,1446.16,1767.02,1763.19,14028.15,1169.0125
"YKL060C",1343,1239.75,1257.12,608.25,416,447,1187.88,1514,1168,1448,1721.5,1593.5,13944,1162
"YLR199C",1576.1,5.5,1683.69,1605.28,1189.78,6.17,1431.3,1701.35,1441.6,1455.13,16.5,1673.74,13786.14,1148.845
"YGL008C",1052.42,1007.92,1018.06,145,93,94.5,1537,1807,1422.75,1460.75,1874.75,1729.25,13242.4,1103.53333333333
"snR30",883.11,832.64,877.41,1705.31,1252.88,1674.08,780.36,983.01,706.11,1028.06,1144.06,995.72,12862.75,1071.89583333333
"YLR246W",917.8,1366.29,1033.47,2701.28,435.29,472.15,680.89,948.93,462.03,916.6,950.12,1001.25,11886.1,990.508333333334
"YAL038W",1084,1048.17,1078,437,345.5,349.22,1045.25,1190.42,985.5,1176.67,1388.33,1378.5,11506.56,958.88
"snR19",838,769.5,906.5,1126.5,952,1076.5,794.5,972,772.17,898,1078.58,928,11112.25,926.020833333333
"snR190",845,793,797,1236,909,1061,752,919,770,950,1030,841.61,10903.61,908.634166666667
"YDR077W",941.25,1001.75,1049.75,1182.5,856.25,835,708,845.75,706.75,617.67,768.75,709.42,10222.84,851.903333333333
"YOL086C",882.5,920.5,958,182,151,127,929,1131,824,1155.08,1298.75,1178.62,9737.45,811.454166666667
"YKL182W",893.58,868.75,917.5,383.5,238,245,842.75,982.75,745.5,787.5,1029.85,917,8851.68,737.64
"snR17b",803.67,773.5,814,787.5,544,602,669.5,794.5,650.67,687,726,697.83,8550.17,712.514166666667
"YLR260W",796.79,869.18,871.6,604.69,398.7,434.29,543.81,677.35,394.98,700.2,749.12,877.01,7917.72,659.81
"snR86",522.5,489.17,552.5,1281.5,1018,1364.46,429.75,523,409,414.5,514,385,7903.38,658.615
"YLR342W",817.5,747,803,256.75,181,171,765,906,735.67,740,877.5,782.54,7782.96,648.58
"YCR012W",743.92,727.83,708.67,467,316.5,351,615.5,711.75,615.75,713.17,879.33,837,7687.42,640.618333333333
"YLL024C",749.13,708.5,748.33,305.25,219.5,223,698.92,766.92,649.75,705,835.75,765.33,7375.38,614.615
"YJR009C",724.08,694.17,714.42,297.92,210.17,228.75,639.97,743,574.17,718.3,870.66,830.75,7246.36,603.863333333333
"YLR172C",17.29,30.28,28.39,12.56,12.5,8.17,25.83,35.61,19.28,28.28,521.97,6407.82,7147.98,595.665
"snR37",599,545,620,685,482,567,508,630,450,646,622,588,6942,578.5
"YPL231W",728.25,712.5,747,290,195,192,655,740,617,561,725,696.5,6859.25,571.604166666667
"YLR110C",481,536,503.5,124,75.17,75,729,868.5,635.5,754,926.75,937.5,6645.92,553.826666666667
"YOR133W",664.92,692.5,692.33,66,62.5,49,658.83,799,612.5,665.17,867.5,807,6637.25,553.104166666667
"YDR385W",672.08,677,701.5,66,63,50.06,660.5,791,619.5,661.33,863.5,799.83,6625.3,552.108333333333
"Q0050",367.5,351.33,418.67,1212.17,914.33,882.5,280.5,351,292.33,455.17,527.5,475.83,6528.83,544.069166666667
"YOR063W",631,607,608.5,145,98,104,665,787.5,608.75,683,797.5,720,6455.25,537.9375
"YNR016C",557,543.5,550.5,122,86,73,585,716,585.5,650,806,751,6025.5,502.125
"YMR186W",546.5,589,526.25,359.25,243.5,233,485.5,607.5,473,545.25,671.25,626.5,5906.5,492.208333333333
"YAL005C",591.17,562.5,601.25,342.5,250.5,254.25,482.92,555.5,468.25,488.71,533.86,566.33,5697.74,474.811666666667
"YOR153W",448,405,412,132,103,103,630.5,736.75,682,560,714.5,672.5,5599.25,466.604166666667
"YGR254W",473.5,512,562.8,476.33,368.86,391.5,424.83,434.33,372.5,437.5,532.11,536.33,5522.59,460.215833333333
"YAL037C-B",517,470.17,523,212,152.5,148.72,493.75,591.42,458.5,541.67,663.33,613.5,5385.56,448.796666666667
"YJL034W",421,375,407,770.5,527.75,566,306,359.75,293,287,355.17,320,4988.17,415.680833333333
"YJL159W",423,458.25,438.5,477.25,355,381,344.5,422,338,291,428.5,362.5,4719.5,393.291666666667
"YNL209W",490.5,441.75,468,61.75,41.5,37.5,465.75,543.25,402.42,545.1,620.08,585,4702.6,391.883333333333
"YPL240C",464,404.75,383.25,703,460.5,496,241.5,299.75,236,252.5,292.38,265,4498.63,374.885833333333
"YFL039C",422,407,465.75,226.5,183.67,178,390,436.25,375,432.5,503,436,4455.67,371.305833333333
"YLL026W",232.5,235,225,1137.53,860,813,147,155,128,135.75,154,139,4361.78,363.481666666667
