"","A3225_EST_1_Aligned.sortedByCoord.out.bam","A3225_EST_2_Aligned.sortedByCoord.out.bam","A3225_EST_3_Aligned.sortedByCoord.out.bam","A3225_EtOH_1_Aligned.sortedByCoord.out.bam","A3225_EtOH_2_Aligned.sortedByCoord.out.bam","A3225_EtOH_3_Aligned.sortedByCoord.out.bam","A3229_EST_1_Aligned.sortedByCoord.out.bam","A3229_EST_2_Aligned.sortedByCoord.out.bam","A3229_EST_3_Aligned.sortedByCoord.out.bam","A3229_EtOH_1_Aligned.sortedByCoord.out.bam","A3229_EtOH_2_Aligned.sortedByCoord.out.bam","A3229_EtOH_3_Aligned.sortedByCoord.out.bam","A3506_EST_1_Aligned.sortedByCoord.out.bam","A3506_EST_2_Aligned.sortedByCoord.out.bam","A3506_EST_3_Aligned.sortedByCoord.out.bam","A3506_EtOH_1_Aligned.sortedByCoord.out.bam","A3506_EtOH_2_Aligned.sortedByCoord.out.bam","A3506_EtOH_3_Aligned.sortedByCoord.out.bam","B1684_EST_1_Aligned.sortedByCoord.out.bam","B1684_EST_2_Aligned.sortedByCoord.out.bam","B1684_EST_3_Aligned.sortedByCoord.out.bam","B1684_EtOH_1_Aligned.sortedByCoord.out.bam","B1684_EtOH_2_Aligned.sortedByCoord.out.bam","B1684_EtOH_3_Aligned.sortedByCoord.out.bam","B3225_EST_1_Aligned.sortedByCoord.out.bam","B3225_EST_2_Aligned.sortedByCoord.out.bam","B3225_EST_3_Aligned.sortedByCoord.out.bam","B3225_EtOH_1_Aligned.sortedByCoord.out.bam","B3225_EtOH_2_Aligned.sortedByCoord.out.bam","B3225_EtOH_3_Aligned.sortedByCoord.out.bam","C3225_EST_1_Aligned.sortedByCoord.out.bam","C3225_EST_2_Aligned.sortedByCoord.out.bam","C3225_EST_3_Aligned.sortedByCoord.out.bam","C3225_EtOH_1_Aligned.sortedByCoord.out.bam","C3225_EtOH_2_Aligned.sortedByCoord.out.bam","C3225_EtOH_3_Aligned.sortedByCoord.out.bam","C3229_EST_1_Aligned.sortedByCoord.out.bam","C3229_EST_2_Aligned.sortedByCoord.out.bam","C3229_EST_3_Aligned.sortedByCoord.out.bam","C3229_EtOH_1_Aligned.sortedByCoord.out.bam","C3229_EtOH_2_Aligned.sortedByCoord.out.bam","C3229_EtOH_3_Aligned.sortedByCoord.out.bam","C448_EST_1_Aligned.sortedByCoord.out.bam","C448_EST_2_Aligned.sortedByCoord.out.bam","C448_EST_3_Aligned.sortedByCoord.out.bam","C448_EtOH_1_Aligned.sortedByCoord.out.bam","C448_EtOH_2_Aligned.sortedByCoord.out.bam","C448_EtOH_3_Aligned.sortedByCoord.out.bam","D37_2h_EtOH_1_Aligned.sortedByCoord.out.bam","D37_2h_EtOH_2_Aligned.sortedByCoord.out.bam","D37_2h_EtOH_3_Aligned.sortedByCoord.out.bam","D37_4h_EST_1_Aligned.sortedByCoord.out.bam","D37_4h_EST_2_Aligned.sortedByCoord.out.bam","D37_4h_EST_3_Aligned.sortedByCoord.out.bam","D37_4h_EtOH_1_Aligned.sortedByCoord.out.bam","D37_4h_EtOH_2_Aligned.sortedByCoord.out.bam","D37_4h_EtOH_3_Aligned.sortedByCoord.out.bam","D37_6h_EST_1_Aligned.sortedByCoord.out.bam","D37_6h_EST_2_Aligned.sortedByCoord.out.bam","D37_6h_EST_3_Aligned.sortedByCoord.out.bam","D37_6h_EtOH_1_Aligned.sortedByCoord.out.bam","D37_6h_EtOH_2_Aligned.sortedByCoord.out.bam","D37_6h_EtOH_3_Aligned.sortedByCoord.out.bam"
"YDL246C",195.75,241.58,233.47,137.33,164.42,128.5,194.9,206.5,259.67,130.58,129,145.5,62.5,33.5,40.33,111,120.67,125,309.83,310.25,328.67,194.5,239.25,243.47,249.67,296.33,258.42,167.67,189.3,181.5,277.83,335.83,430.42,236.08,194.33,175.33,162.5,160.92,156.28,165.5,152.5,167,35,41.67,76.17,155.05,186.25,212,429.25,412.67,450.23,371.33,558.33,465.33,467.33,460.83,355,469.17,525,508.83,736.2,614.83,556.17
"YDL243C",224,191.5,252.5,147.5,177.5,195.5,257.5,246.75,266,199,187,203.75,113.79,100,117.67,170,163,185,220.5,261.25,280.58,253,249.5,370,239.5,278.75,251,249.12,291,260.33,250,255.87,357.75,381,501,410.29,277.25,257.67,360.1,380,255.5,269.5,127,149,167.25,523,528.25,603.75,332.75,351,340,399.5,736,466,450,386.5,327,483.88,496,571.5,681.5,549.83,514
"YDR387C",817.11,737,821.58,802.92,899.5,811.75,989,1014.81,1117.75,800.75,844.04,947.5,529.82,485,487.29,942.5,888.5,841.75,1072.24,1188.92,1248.71,1115.5,1099.75,1148.75,891,964,1050.56,994.25,882.52,1008,790.25,843.75,1109.58,1060.92,974.79,731.17,929.75,850.87,756,705.05,804.83,824.08,464.92,335,460.25,858.92,900.64,874.67,1024.5,1043.5,1094.5,1124.5,579,1246.5,981,868.53,649.5,864.5,979,1014.25,1208.6,955,880.06
"YDL094C",154.92,122.67,112.5,100.17,109.5,101.5,115,125.5,141.5,94.92,99,120.5,101,82,94.42,123,119.83,89.67,132.67,118,143,159.19,180.61,176,134,165.5,125,134.5,125.81,150.08,116.5,137.79,193.46,144,153.5,144.5,140.4,162.58,147.75,142.75,180.25,152.17,66,71.17,87.35,181,154.5,161.5,238.5,234.71,202,182.17,935,207,179,165.5,131,171.5,180.17,165.5,219,183.5,171
"YDR438W",595,579.75,566,409,484,434,542,590.75,623.58,577.5,472.25,526.17,261,264,247,425.25,474,410.08,835,963.25,1135.5,576,627.71,713.07,709,736,678,619.75,586.42,530,485.75,584.17,759,613.38,479.75,529.25,599,538.07,494,490.75,532.75,421.25,279,231.75,265,470.11,523,521.25,624,584,614.5,547.5,363.5,709,577,607,469,596,632,579,874.25,715.12,654
"YDR523C",450.92,367.5,374,300,356,260,672.5,706,608,294.25,266,351.5,132,148,142,254,285.5,253.58,347,374.25,419.1,177,183,180.62,225,231,219.25,243,200.25,239.25,245,201,338,179.08,179.25,160.33,401.67,355.5,345,210.5,174,171,44.17,39.42,48,195.29,205.25,150.5,453,436,391.83,680.5,530,848.5,633,657.5,588,896.5,950.5,1036,1109.78,945,911
"YDR542W",42.33,59,40.58,25.33,27.64,28,48.17,71.5,46.92,23,17.5,20,17.33,7,6,26,12.39,23.14,28,28.33,32.14,8.04,19.5,13,34.67,41.83,31.67,11.83,11,13.14,42,28.14,53.77,22.5,20.28,19.62,46.33,54,28,21.75,21.75,12,2.25,8,0.25,12.46,16,19.46,10,9,15.89,19,6.33,8,14.67,15.33,14.25,19.33,28.5,23.77,39.81,27.37,30.5
"YDR492W",1945,1748.1,1843.5,2851.17,2894.5,2561.67,2323.5,2229.5,2387.5,2553.83,2760.33,3020.58,2056.99,1919,2061,2910.03,2847.5,2589.5,2784.46,2695.67,2721.5,3917.5,4327.81,4645.92,1729.75,1930,1842.5,4240.75,4619.87,4628.83,1639.33,1771.67,2729.17,4444.6,4064.5,3743.25,3165.5,3418.83,3116.71,3178.89,4015.69,3486.5,1619.75,1572.33,1750.67,4140.83,4412.25,4077.17,2089.5,1707,1821.75,1650.83,1227,2053,1384.56,1231,952.5,1666.5,1748.08,1853.75,2015.5,1535.5,1511.25
"YDR018C",197.5,202,252,133,118,110.25,154.25,133,159,95,99.85,120.25,46,60.47,38,111,125,120.5,705,794.17,800.33,325.25,365.25,351.5,285.12,310,270,230,227,208.25,271.67,311.31,315.75,190,155.5,167.75,138.38,120,123.5,114.25,111,182.17,69.5,49,55.25,159,183.25,201.17,479,538.25,507,534.62,527,532.5,627,629,439,525,605.17,534,853.25,668,700.12
"YDL189W",1539,1509,1563,1593.5,1772.29,1658.33,1597,1709.88,1771,1654,1846.67,1810.75,1259,1256.33,1406.07,1618.12,1671.75,1517,2152.75,2438.5,2674.67,1768.54,1846.12,2010.79,1488.25,1817.75,1479.5,1840.62,1961.88,1740.88,1333.25,1515.75,2191.6,2018.75,1838,1667,1975.5,1977.42,1931.75,1597.25,1934.58,1740,1186.25,1138,1197,1927.6,1811.5,2029,1380,1355.67,1507.88,1371,626,1597,1107,1089,820,1055,1175.92,1186,1341.25,1214,925
"YDR508C",9858.5,8205.5,10066.96,10319.53,12289.94,10554.21,11434.79,11558.12,12387.71,11179.19,9763.17,10805,5868.12,5491.25,5433.25,10189.5,9460.25,9626.67,14176.81,15593.46,17222.92,11166.64,11598.75,10581.92,11321.86,11798.17,12110.88,15614.92,16113.58,16574.56,9624.25,10525.37,15521.83,14097.28,13666.55,12848.92,14413.15,15051.39,14134.71,12804.21,13692,13390.57,6604.8,6187.71,6588.08,13650.92,14467.87,14416.58,10433.42,9608.33,10966.19,8714.17,3220.33,10625.83,7650.67,8305,6409.75,7916.79,8252.61,9607.23,9948.32,8243.5,7229.58
"YDR462W",515.3,566.07,628,430.33,525,450.25,530,548.5,568.5,461.25,413.37,405.5,398.5,381.75,432,385.5,404,461,898.9,884,1062.5,537.75,517.5,606.42,609.67,513,553,551.17,571.33,569.33,571.5,715.25,970.67,634.5,716,611.83,933.42,781.5,725.5,535,606.5,650,456.25,452,490,641,643.38,650.81,933,885,904,914,1613.08,1030,862,793.5,648.5,834,882.5,835,1146.17,870,824.5
"YDR175C",1647.83,1552.5,1567.5,1239,1502.75,1278,1540.67,1481.83,1549.25,1362,1302,1383,1213.5,1163,1100.5,1272.25,1362.83,1182,2855.33,3002.25,3314,1563.5,1768,1785,1784.08,1678.5,1583.75,1675,1707.25,1861.5,1178.5,1358,1986.62,1434,1410.67,1217.42,1437.58,1460.25,1354.62,1285,1366.5,1316,877.07,836.33,850,1499.81,1492,1446.17,1109,1019.5,1123.5,1130,1132.5,1361,1072,1155.5,824.25,1075,1071,1091,1500,1246,972
"YDR186C",3160.86,2748.5,3069.17,2745.75,3146.28,2876,2830.12,3093,3202.75,2927.83,3414.75,3583,2594,2734.85,2635,3117.5,3180.42,2982.88,5498.75,5810.62,6323.25,4135.5,4798.5,5086.33,3664.78,4721,4130.53,4407.69,4384.5,4492,3220.67,3388.5,5034,4386.83,4013.92,3677.83,3813.33,3760,3485.92,3299.31,3844.75,3531.75,2686.52,2461,2347.25,4335.75,4276.07,4334.35,3560,3481.5,3750.67,3638.69,1161.25,4442,3831.25,3665.75,3041.08,3918.5,4286,4280.75,5603.42,4579,4104.83
"YDR150W",1885.43,1618.25,1813.25,1881.16,2006.57,1818.5,1980.48,2407.18,2331.91,1703.08,1827.41,2057,1115.72,1115.5,1060,1708.5,1842,1577.16,2456.08,2628.08,2875.83,1830.91,2288.04,2080.69,2068.69,2536.76,2120.06,2017.91,1904.78,1838.45,1906.22,2041.34,3174.47,2492.75,2255.91,2126.87,2649.07,2595.91,2306.97,2011.41,2303.03,2137.58,1252.5,1077.54,1175.83,2174.71,2476.75,2231.55,2406,2143.91,2192.08,2220.25,638,2611.66,2128,2153,1566.83,2376.25,2435.69,2631.86,3084.5,2498.29,2084.04
"YDR243C",792.18,689.5,709.83,705.25,820.5,664,717,835,876.5,630.5,639,695,489,469.75,472.5,733,666,566,796.92,966.75,1049.5,834.5,1027,959.17,730.5,824.5,802,962.75,1037.2,1053.89,558.75,582.75,968.08,841.54,725,839.75,903.64,927,886.58,690.08,813.58,709.75,433.25,413,436.42,885.25,874,801.06,932,793,848.75,783,326.5,921.25,704.58,709.92,535.25,741,803.5,862.75,1004.17,820.5,739.5
"YDL182W",4477.25,4335.5,15085.92,26106.55,25594.58,26424.75,18912.75,19990.83,19656.22,23671.12,23701.08,27377.02,10921,11972.75,5764.5,27614.58,25124.25,25519.33,18501.08,19092.5,20453.69,19956.04,21322.88,21059.07,15640,14611.08,15485.42,18172.78,18214.61,19800.08,15071.58,17452.17,24336.91,27025.08,29280.32,26239.37,24867.89,27819.33,24127.95,16180.96,30166.42,27909.16,12286.82,12072.52,13302.63,21882.59,24991.42,23480.31,2026.25,1826.85,1884.92,1681.67,1512.5,2181.61,1841.43,1813,1387.25,1732,1757.5,1932.25,3037,2226.5,2120.75
"YDR362C",1115.96,1100.33,1066,812.5,871.92,908.5,979.08,1010.17,1149.25,906,873,1017.96,707.58,680.29,698.75,925.22,947.08,891.17,1119.25,1191.92,1252.17,1219.38,1378.5,1609.17,1185,1317,1261.92,1218.71,1298.1,1183.42,968.85,939.86,1425.67,1061.62,1089.33,869.62,1073,1093,975.25,911.21,1007.83,962.17,552,511,579,1046.79,1043.37,1075.17,1581.5,1397.25,1511.75,1276,1047,1619.17,1217.25,1242.5,971,1195.5,1310.75,1378.75,1694.5,1421.08,1134.47
"YDR232W",2615.67,2338.5,2259.66,1950.58,2162.92,2087.08,2256.62,2250.5,2205.53,1775.23,2103.25,2295.15,1624.5,1589,1746,2215.83,2004,1994,2502.67,2902,3104.44,2476.86,2640.17,2639.92,2756.25,2986.42,2731.25,3239.25,3467.08,3751,2463.78,2802,4446.25,3341.55,3310.83,3098.08,3635.25,3554,3715.96,3045.5,2945.5,3231,2768.55,2445,2640.17,3499.5,3472.06,3630.14,4108.67,3833.5,4199.83,3833.5,1915,4757.75,3569.08,3715.42,2737,3796,4114.42,4276.5,4998.3,4346.28,3760.92
"YDR158W",8662.92,7906,8543.58,14161.08,14675.67,15000,10452.04,9685.67,10383.28,14138.04,12093,15065.82,11484.5,10463.45,11845.29,15787.08,14351.75,14980.18,13806.5,14552.5,16542.93,14038.83,14190.5,14748.5,6680.5,5999.83,6514,14735.97,14388.49,15651.5,5289.33,6404.75,9831.75,17254.67,16586.37,14680,13452.83,14481.54,12306.67,15126.42,17103.83,15536.92,10267.92,9768.58,10719.92,14735.17,16297.92,15530.96,6100.5,5465,5844.42,5421.75,6405.5,6454,4275.27,4334.42,3473.5,4530,4379.5,4839,5225,4356,3731.47
"YDR439W",584,660.5,610.75,471,597,453.44,507.44,589.5,556.42,513.5,616,559,403,326,352,470,524,494.5,1096.75,1061.25,1365.75,726,694.17,815.17,781,782.1,700,731,748.25,707.25,617,686,1057.54,743.92,668.62,688.62,743.67,743.75,717.42,574.42,631.5,642.5,367,319.25,379.75,675.5,668.38,646.5,748,704,800,682.25,514,822.25,611.5,578.33,486,595,618,644,722.12,636.5,582.5
"YDL206W",486.17,511,530.75,479,603.88,472,538.5,714.75,725.42,568.5,584,590,258.5,243.5,218.5,495,531,488,834.25,943.49,749.58,968.67,1110,1351,699,872.5,712.92,728.25,735.28,766,536,565,739.92,585.53,506.75,472.25,501.67,449.12,428,442.67,506,485.5,234,175,219.17,579.75,593.81,582.5,1167.5,1096.5,1096.67,1043,372,1242.5,1107,1124.42,894.75,1224,1331.42,1346,1709.33,1470,1225
"YDR125C",343.75,310,377.5,333.5,355.75,367,369.83,485,523.08,376.69,414.75,423.5,175,206,187.38,349,385,315.5,494.56,512.5,541,410,543.86,656.5,398.25,494,434,387.8,431.49,416.5,313,321,406,340.42,392.1,290.67,403.5,372.42,316,277,317.25,307,155.5,159.31,95,334.81,422.5,293.5,593,560,607.75,632.5,305,695.17,557,619,439.25,699,753.5,790,971.5,809.5,733.5
