,A3225_EST_1_Aligned.sortedByCoord.out.bam,A3225_EST_2_Aligned.sortedByCoord.out.bam,A3225_EST_3_Aligned.sortedByCoord.out.bam,A3225_EtOH_1_Aligned.sortedByCoord.out.bam,A3225_EtOH_2_Aligned.sortedByCoord.out.bam,A3225_EtOH_3_Aligned.sortedByCoord.out.bam,A3229_EST_1_Aligned.sortedByCoord.out.bam,A3229_EST_2_Aligned.sortedByCoord.out.bam,A3229_EST_3_Aligned.sortedByCoord.out.bam,A3229_EtOH_1_Aligned.sortedByCoord.out.bam,A3229_EtOH_2_Aligned.sortedByCoord.out.bam,A3229_EtOH_3_Aligned.sortedByCoord.out.bam,A3506_EST_1_Aligned.sortedByCoord.out.bam,A3506_EST_2_Aligned.sortedByCoord.out.bam,A3506_EST_3_Aligned.sortedByCoord.out.bam,A3506_EtOH_1_Aligned.sortedByCoord.out.bam,A3506_EtOH_2_Aligned.sortedByCoord.out.bam,A3506_EtOH_3_Aligned.sortedByCoord.out.bam,B1684_EST_1_Aligned.sortedByCoord.out.bam,B1684_EST_2_Aligned.sortedByCoord.out.bam,B1684_EST_3_Aligned.sortedByCoord.out.bam,B1684_EtOH_1_Aligned.sortedByCoord.out.bam,B1684_EtOH_2_Aligned.sortedByCoord.out.bam,B1684_EtOH_3_Aligned.sortedByCoord.out.bam,B3225_EST_1_Aligned.sortedByCoord.out.bam,B3225_EST_2_Aligned.sortedByCoord.out.bam,B3225_EST_3_Aligned.sortedByCoord.out.bam,B3225_EtOH_1_Aligned.sortedByCoord.out.bam,B3225_EtOH_2_Aligned.sortedByCoord.out.bam,B3225_EtOH_3_Aligned.sortedByCoord.out.bam,C3225_EST_1_Aligned.sortedByCoord.out.bam,C3225_EST_2_Aligned.sortedByCoord.out.bam,C3225_EST_3_Aligned.sortedByCoord.out.bam,C3225_EtOH_1_Aligned.sortedByCoord.out.bam,C3225_EtOH_2_Aligned.sortedByCoord.out.bam,C3225_EtOH_3_Aligned.sortedByCoord.out.bam,C3229_EST_1_Aligned.sortedByCoord.out.bam,C3229_EST_2_Aligned.sortedByCoord.out.bam,C3229_EST_3_Aligned.sortedByCoord.out.bam,C3229_EtOH_1_Aligned.sortedByCoord.out.bam,C3229_EtOH_2_Aligned.sortedByCoord.out.bam,C3229_EtOH_3_Aligned.sortedByCoord.out.bam,C448_EST_1_Aligned.sortedByCoord.out.bam,C448_EST_2_Aligned.sortedByCoord.out.bam,C448_EST_3_Aligned.sortedByCoord.out.bam,C448_EtOH_1_Aligned.sortedByCoord.out.bam,C448_EtOH_2_Aligned.sortedByCoord.out.bam,C448_EtOH_3_Aligned.sortedByCoord.out.bam,D37_2h_EtOH_1_Aligned.sortedByCoord.out.bam,D37_2h_EtOH_2_Aligned.sortedByCoord.out.bam,D37_2h_EtOH_3_Aligned.sortedByCoord.out.bam,D37_4h_EST_1_Aligned.sortedByCoord.out.bam,D37_4h_EST_2_Aligned.sortedByCoord.out.bam,D37_4h_EST_3_Aligned.sortedByCoord.out.bam,D37_4h_EtOH_1_Aligned.sortedByCoord.out.bam,D37_4h_EtOH_2_Aligned.sortedByCoord.out.bam,D37_4h_EtOH_3_Aligned.sortedByCoord.out.bam,D37_6h_EST_1_Aligned.sortedByCoord.out.bam,D37_6h_EST_2_Aligned.sortedByCoord.out.bam,D37_6h_EST_3_Aligned.sortedByCoord.out.bam,D37_6h_EtOH_1_Aligned.sortedByCoord.out.bam,D37_6h_EtOH_2_Aligned.sortedByCoord.out.bam,D37_6h_EtOH_3_Aligned.sortedByCoord.out.bam
CAALFM_C100020CA,290.0,230.0,271.0,302.5,321.0,308.0,273.0,206.0,319.0,309.0,257.0,216.0,222.0,162.0,247.5,260.5,295.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,452.0,495.0,493.0,1286.5,506.5,625.0,463.0,481.5,362.47,428.5,648.0,388.0,521.83,443.0
CAALFM_C100030CA,66.33,66.5,77.5,90.5,103.5,82.0,52.5,71.5,83.33,82.0,57.0,48.5,65.33,38.0,60.0,66.83,66.83,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.67,108.67,89.0,106.67,117.5,146.67,198.62,152.83,124.83,98.5,115.18,167.33,106.33,142.33,119.0
CAALFM_C100040WA,333.63,352.88,360.91,335.02,342.32,398.93,279.57,322.59,370.73,359.53,330.34,358.12,264.42,259.21,261.17,345.56,468.58,419.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.61,582.08,577.73,490.08,651.33,748.47,986.69,734.9,722.73,434.41,561.88,880.12,538.38,728.82,522.43
CAALFM_C100060WA,3498.67,2792.5,3321.0,3772.75,3389.25,4190.25,2896.0,3199.5,3454.75,3268.88,3993.17,3834.5,2649.25,2276.5,2493.75,4065.67,4339.75,4268.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5550.0,5943.42,5517.0,6021.42,4362.67,7011.08,9279.0,6398.0,7180.0,4582.92,5871.38,7974.67,5396.25,7385.92,5201.5
CAALFM_C100070WA,1771.0,1397.0,1713.5,1835.0,1777.0,2142.25,1515.25,1732.5,1632.0,1741.5,1985.5,1904.0,1415.0,1192.5,1317.5,1971.5,2112.25,2109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2877.25,2722.67,2648.75,2806.0,1092.33,3768.25,4674.08,3345.75,3628.5,2265.5,3056.5,4367.08,2873.0,3993.25,2664.25
CAALFM_C100080CA,486.83,409.5,433.5,459.5,446.25,560.0,413.0,432.5,448.5,382.25,499.67,494.5,351.0,266.25,342.5,519.0,626.5,530.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.67,768.0,764.0,792.75,1379.83,894.33,1223.08,836.25,970.25,687.32,767.0,1043.33,791.0,1025.5,736.25
CAALFM_C100090WA,74.33,58.0,67.0,101.0,81.0,96.75,52.5,85.5,77.5,74.0,103.5,91.0,52.5,67.5,82.0,88.5,104.5,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,130.0,116.5,136.5,7.83,151.33,178.25,138.0,141.75,99.57,134.0,179.0,144.0,172.75,112.0
CAALFM_C100100CA,216.5,168.25,193.75,193.25,155.0,246.0,168.0,193.0,217.0,180.0,187.0,196.5,151.5,111.0,145.0,212.25,227.75,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.25,298.0,310.0,342.33,217.0,381.0,487.0,340.0,483.0,315.17,332.0,437.0,302.0,391.0,324.0
CAALFM_C100110WA,1439.5,1340.75,1441.0,1534.0,1487.25,1870.0,1354.75,1397.42,1617.25,1385.33,1564.5,1620.67,1256.5,1011.5,1170.83,1774.0,1695.0,1847.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419.75,2422.7,2242.83,2560.0,1645.0,2977.42,3961.67,2721.75,2961.0,1961.93,2497.25,3443.5,2231.25,2987.5,2342.75
CAALFM_C100120CA,486.75,446.5,477.5,479.5,501.5,568.5,453.5,445.38,522.33,563.38,388.75,423.0,396.5,336.0,411.0,469.92,520.62,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.0,761.5,777.5,850.5,1252.5,1011.0,1276.5,939.5,984.25,687.5,901.25,1217.0,829.0,1049.0,828.0
