"","Status","A3225_EST_1_Aligned.sortedByCoord.out.bam","A3225_EST_2_Aligned.sortedByCoord.out.bam","A3225_EST_3_Aligned.sortedByCoord.out.bam","A3225_EtOH_1_Aligned.sortedByCoord.out.bam","A3225_EtOH_2_Aligned.sortedByCoord.out.bam","A3225_EtOH_3_Aligned.sortedByCoord.out.bam","A3229_EST_1_Aligned.sortedByCoord.out.bam","A3229_EST_2_Aligned.sortedByCoord.out.bam","A3229_EST_3_Aligned.sortedByCoord.out.bam","A3229_EtOH_1_Aligned.sortedByCoord.out.bam","A3229_EtOH_2_Aligned.sortedByCoord.out.bam","A3229_EtOH_3_Aligned.sortedByCoord.out.bam","A3506_EST_1_Aligned.sortedByCoord.out.bam","A3506_EST_2_Aligned.sortedByCoord.out.bam","A3506_EST_3_Aligned.sortedByCoord.out.bam","A3506_EtOH_1_Aligned.sortedByCoord.out.bam","A3506_EtOH_2_Aligned.sortedByCoord.out.bam","A3506_EtOH_3_Aligned.sortedByCoord.out.bam","B1684_EST_1_Aligned.sortedByCoord.out.bam","B1684_EST_2_Aligned.sortedByCoord.out.bam","B1684_EST_3_Aligned.sortedByCoord.out.bam","B1684_EtOH_1_Aligned.sortedByCoord.out.bam","B1684_EtOH_2_Aligned.sortedByCoord.out.bam","B1684_EtOH_3_Aligned.sortedByCoord.out.bam","B3225_EST_1_Aligned.sortedByCoord.out.bam","B3225_EST_2_Aligned.sortedByCoord.out.bam","B3225_EST_3_Aligned.sortedByCoord.out.bam","B3225_EtOH_1_Aligned.sortedByCoord.out.bam","B3225_EtOH_2_Aligned.sortedByCoord.out.bam","B3225_EtOH_3_Aligned.sortedByCoord.out.bam","C3225_EST_1_Aligned.sortedByCoord.out.bam","C3225_EST_2_Aligned.sortedByCoord.out.bam","C3225_EST_3_Aligned.sortedByCoord.out.bam","C3225_EtOH_1_Aligned.sortedByCoord.out.bam","C3225_EtOH_2_Aligned.sortedByCoord.out.bam","C3225_EtOH_3_Aligned.sortedByCoord.out.bam","C3229_EST_1_Aligned.sortedByCoord.out.bam","C3229_EST_2_Aligned.sortedByCoord.out.bam","C3229_EST_3_Aligned.sortedByCoord.out.bam","C3229_EtOH_1_Aligned.sortedByCoord.out.bam","C3229_EtOH_2_Aligned.sortedByCoord.out.bam","C3229_EtOH_3_Aligned.sortedByCoord.out.bam","C448_EST_1_Aligned.sortedByCoord.out.bam","C448_EST_2_Aligned.sortedByCoord.out.bam","C448_EST_3_Aligned.sortedByCoord.out.bam","C448_EtOH_1_Aligned.sortedByCoord.out.bam","C448_EtOH_2_Aligned.sortedByCoord.out.bam","C448_EtOH_3_Aligned.sortedByCoord.out.bam","D37_2h_EtOH_1_Aligned.sortedByCoord.out.bam","D37_2h_EtOH_2_Aligned.sortedByCoord.out.bam","D37_2h_EtOH_3_Aligned.sortedByCoord.out.bam","D37_4h_EST_1_Aligned.sortedByCoord.out.bam","D37_4h_EST_2_Aligned.sortedByCoord.out.bam","D37_4h_EST_3_Aligned.sortedByCoord.out.bam","D37_4h_EtOH_1_Aligned.sortedByCoord.out.bam","D37_4h_EtOH_2_Aligned.sortedByCoord.out.bam","D37_4h_EtOH_3_Aligned.sortedByCoord.out.bam","D37_6h_EST_1_Aligned.sortedByCoord.out.bam","D37_6h_EST_2_Aligned.sortedByCoord.out.bam","D37_6h_EST_3_Aligned.sortedByCoord.out.bam","D37_6h_EtOH_1_Aligned.sortedByCoord.out.bam","D37_6h_EtOH_2_Aligned.sortedByCoord.out.bam","D37_6h_EtOH_3_Aligned.sortedByCoord.out.bam"
"1","Assigned",28169512,25616462,27455816,23405759,24866336,24494843,22091571,22435074,23966815,22444198,21510871,23408185,31592629,29224999,29416154,24347407,24363030,23889047,21192481,22653360,24596361,20671880,22205226,23238945,29239817,28776080,29363703,23669125,23807590,24217908,23915561,26101919,35370312,23772160,22957050,20281618,20047121,21010734,19183952,17893156,20295244,19463174,27359713,25019708,28492896,22116836,23254460,23127366,26285214,25480430,25518654,27123608,26431270,31595812,28866947,25004420,22805664,26659387,28282884,33120116,30297731,29078637,24755466
"2","Unassigned_Unmapped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Unassigned_Read_Type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Unassigned_Singleton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Unassigned_MappingQuality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Unassigned_Chimera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Unassigned_FragmentLength",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Unassigned_Duplicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Unassigned_MultiMapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Unassigned_Secondary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Unassigned_NonSplit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Unassigned_NoFeatures",1478657,1378776,1505584,1640096,1810275,1682372,1817820,1842074,2010234,1729188,1788770,1983769,1282163,1093915,1130693,1856206,1975155,1988955,1893638,2109208,2216270,1834632,2018313,2173256,1674212,1723473,1771940,2024984,2068739,2089540,1603158,1885276,2437339,2097254,2028931,1808723,1645493,1638612,1528219,1601824,1746187,1849509,1597589,1393787,1576769,2106142,2285202,2288351,2075425,1972631,2101517,2060278,2591165,2335801,2107531,2041574,1599753,2129446,2197850,2429944,2646612,2223997,1963588
"13","Unassigned_Overlapping_Length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Unassigned_Ambiguity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
