Run,SampleName,LibraryName,AssayType
SRX34431584,A3xFP-NLS EST rep1,A3225_EST_1,RNA-Seq
SRX34431575,A3xFP-NLS EST rep2,A3225_EST_2,RNA-Seq
SRX34431576,A3xFP-NLS EST rep3,A3225_EST_3,RNA-Seq
SRX34431577,A3xFP-NLS EtOH rep1,A3225_EtOH_1,RNA-Seq
SRX34431578,A3xFP-NLS EtOH rep2,A3225_EtOH_2,RNA-Seq
SRX34431579,A3xFP-NLS EtOH rep3,A3225_EtOH_3,RNA-Seq
SRX34431580,Aempty EST rep1,A3229_EST_1,RNA-Seq
SRX34431581,Aempty EST rep2,A3229_EST_2,RNA-Seq
SRX34431582,Aempty EST rep3,A3229_EST_3,RNA-Seq
SRX34431583,Aempty EtOH rep1,A3229_EtOH_1,RNA-Seq
SRX34431585,Aempty EtOH rep2,A3229_EtOH_2,RNA-Seq
SRX34431586,Aempty EtOH rep3,A3229_EtOH_3,RNA-Seq
SRX34431587,A3xFP-NES EST rep1,A3506_EST_1,RNA-Seq
SRX34431588,A3xFP-NES EST rep2,A3506_EST_2,RNA-Seq
SRX34431605,A3xFP-NES EST rep3,A3506_EST_3,RNA-Seq
SRX34431606,A3xFP-NES EtOH rep1,A3506_EtOH_1,RNA-Seq
SRX34431607,A3xFP-NES EtOH rep2,A3506_EtOH_2,RNA-Seq
SRX34431608,A3xFP-NES EtOH rep3,A3506_EtOH_3,RNA-Seq
SRX34431609,B1xFP-NLS EST rep1,B1684_EST_1,RNA-Seq
SRX34431610,B1xFP-NLS EST rep2,B1684_EST_2,RNA-Seq
SRX34431611,B1xFP-NLS EST rep3,B1684_EST_3,RNA-Seq
SRX34431639,B1xFP-NLS EtOH rep1,B1684_EtOH_1,RNA-Seq
SRX34431640,B1xFP-NLS EtOH rep2,B1684_EtOH_2,RNA-Seq
SRX34431641,B1xFP-NLS EtOH rep3,B1684_EtOH_3,RNA-Seq
SRX34431642,B3xFP-NLS EST rep1,B3225_EST_1,RNA-Seq
SRX34431643,B3xFP-NLS EST rep2,B3225_EST_2,RNA-Seq
SRX34431644,B3xFP-NLS EST rep3,B3225_EST_3,RNA-Seq
SRX34431645,B3xFP-NLS EtOH rep1,B3225_EtOH_1,RNA-Seq
SRX34431554,B3xFP-NLS EtOH rep2,B3225_EtOH_2,RNA-Seq
SRX34431555,B3xFP-NLS EtOH rep3,B3225_EtOH_3,RNA-Seq
SRX34431556,C3xFP-NLS EST rep1,C3225_EST_1,RNA-Seq
SRX34431557,C3xFP-NLS EST rep2,C3225_EST_2,RNA-Seq
SRX34431558,C3xFP-NLS EST rep3,C3225_EST_3,RNA-Seq
SRX34431559,C3xFP-NLS EtOH rep1,C3225_EtOH_1,RNA-Seq
SRX34431560,C3xFP-NLS EtOH rep2,C3225_EtOH_2,RNA-Seq
SRX34431561,C3xFP-NLS EtOH rep3,C3225_EtOH_3,RNA-Seq
SRX34431589,Cempty EST rep1,C3229_EST_1,RNA-Seq
SRX34431590,Cempty EST rep2,C3229_EST_2,RNA-Seq
SRX34431591,Cempty EST rep3,C3229_EST_3,RNA-Seq
SRX34431592,Cempty EtOH rep1,C3229_EtOH_1,RNA-Seq
SRX34431593,Cempty EtOH rep2,C3229_EtOH_2,RNA-Seq
SRX34431594,Cempty EtOH rep3,C3229_EtOH_3,RNA-Seq
SRX34431595,C3xFP EST rep1,C448_EST_1,RNA-Seq
SRX34431612,C3xFP EST rep2,C448_EST_2,RNA-Seq
SRX34431613,C3xFP EST rep3,C448_EST_3,RNA-Seq
SRX34431614,C3xFP EtOH rep1,C448_EtOH_1,RNA-Seq
SRX34431617,C3xFP EtOH rep2,C448_EtOH_2,RNA-Seq
SRX34431618,C3xFP EtOH rep3,C448_EtOH_3,RNA-Seq
SRX34431619,D37 2h EtOH rep1,D37_2h_EtOH_1,RNA-Seq
SRX34431620,D37 2h EtOH rep2,D37_2h_EtOH_2,RNA-Seq
SRX34431647,D37 2h EtOH rep3,D37_2h_EtOH_3,RNA-Seq
SRX34431648,D37 4h EST rep1,D37_4h_EST_1,RNA-Seq
SRX34431649,D37 4h EST rep2,D37_4h_EST_2,RNA-Seq
SRX34431650,D37 4h EST rep3,D37_4h_EST_3,RNA-Seq
SRX34431651,D37 4h EtOH rep1,D37_4h_EtOH_1,RNA-Seq
SRX34431545,D37 4h EtOH rep2,D37_4h_EtOH_2,RNA-Seq
SRX34431546,D37 4h EtOH rep3,D37_4h_EtOH_3,RNA-Seq
SRX34431562,D37 6h EST rep1,D37_6h_EST_1,RNA-Seq
SRX34431563,D37 6h EST rep2,D37_6h_EST_2,RNA-Seq
SRX34431564,D37 6h EST rep3,D37_6h_EST_3,RNA-Seq
SRX34431565,D37 6h EtOH rep1,D37_6h_EtOH_1,RNA-Seq
SRX34431566,D37 6h EtOH rep2,D37_6h_EtOH_2,RNA-Seq
SRX34431567,D37 6h EtOH rep3,D37_6h_EtOH_3,RNA-Seq
