string_suffix,1h_rep1,1h_rep2,1h_rep3,3h_rep1,3h_rep 2,3h_rep3,5h_rep1,5h_rep 2,5h_rep3,7h_rep1,7h_rep2
YGL237C,7.82461,10.1804,12.0613,37.3453,35.6452,34.2346,29.2529,28.9201,36.8058,25.5553,19.5966
YOR059C,11.1564,11.6804,7.33575,66.3119,76.7757,70.0148,106.624,105.031,113.799,159.884,138.998
YNL149C,10.6518,6.71551,13.0304,68.1282,104.429,84.2528,166.266,129.679,212.474,163.364,240.572
YLR016C,9.828,12.1612,8.5217,34.0042,36.3215,34.5194,37.0438,49.1412,42.8758,35.0038,36.7716
YDL183C,8.56294,10.561,11.4417,52.1135,58.0446,50.9751,76.4852,74.5885,83.0305,92.7623,112.368
YIL004C,8.5084,10.6296,11.4373,70.5905,57.6663,66.8492,97.0745,107.255,96.1538,106.559,105.194
YPL227C,12.0522,8.4887,10.3905,93.6805,99.1408,94.222,133.126,123.821,154.79,123.36,139.743
YKL061W,9.78239,12.7608,8.67987,16.8873,11.8095,14.604,13.1035,15.2196,16.6624,9.16022,7.46556
YJR118C,11.9487,8.70357,10.656,62.5925,65.8029,57.2738,85.4552,81.1024,95.5734,76.5526,82.8492
YPR082C,10.5551,11.4988,9.33914,47.7369,42.7385,50.0764,86.3336,90.8157,79.62,94.7235,86.4042
YKL146W,10.4911,10.8518,10.1878,50.1382,58.4028,48.6609,78.4452,69.1405,76.1014,75.5111,73.9867
YMR268C,9.68876,7.31233,14.5622,32.6671,37.6092,37.8196,54.9077,51.6094,64.133,57.3516,73.8813
YMR322C,9.81398,11.2488,10.5268,39.3431,38.1375,35.3792,189.802,191.922,195.708,394.985,411.807
YDR331W,12.1209,6.48902,12.9902,136.912,135.448,115.359,179.184,197.377,177.397,213.447,204.923
YLR263W,12.4796,9.02705,10.1427,43.2336,46.4951,44.5948,102.697,84.8407,102.383,111.91,124.356
YNL009W,15.7601,7.44871,8.44419,57.1809,75.9176,72.2726,172.598,177.619,179.3,353.69,375.63
YOR228C,11.6159,12.0585,8.23669,75.7387,82.932,85.4434,135.929,135.968,152.971,165.49,167.779
YGL154C,11.0515,9.37703,12.3624,71.5159,81.8673,72.0078,152.805,144.341,145.022,134.374,134.129
YKL086W,13.0817,11.0006,8.71381,55.705,56.3049,51.6333,281.73,263.847,267.756,751.538,719.956
YAL020C,11.7767,12.6263,8.64881,38.7475,34.361,41.7286,51.0284,55.2925,52.4158,53.8677,49.1628
YER147C,8.27832,11.3152,13.7391,97.4708,95.3174,112.571,136.343,169.877,159.096,192.176,162.467
YNL133C,11.712,13.2734,8.46511,106.35,105.621,113.438,154.596,192.123,163.489,190.589,176.913
YLR356W,13.1322,10.362,9.96125,60.4894,79.2539,65.771,144.915,149.565,148.381,214.069,192.754
YOR244W,11.5017,11.8002,10.1853,67.1868,63.2905,59.8022,87.2685,88.5737,102.939,110.044,102.58
YPR149W,11.8265,10.96,10.8557,25.6737,21.9935,28.1853,25.6075,35.3009,31.4618,42.0831,32.582
YBR091C,8.48404,13.7121,11.495,36.0001,33.0105,34.4276,45.2493,47.4413,40.771,41.9663,35.1635
YGR006W,10.9447,13.2351,9.61761,37.2217,40.1712,43.1682,53.2159,64.4088,56.4795,58.8568,50.6296
YDR364C,10.4643,12.8677,10.5374,66.2353,90.0972,67.7914,122.238,124.267,146.03,149.842,142.68
YML037C,12.7836,12.1142,9.34105,27.8762,29.4584,28.4527,41.4967,42.0782,47.206,43.7432,42.2296
YNL188W,10.4882,11.4525,12.5121,47.468,38.7633,38.7438,61.2149,64.642,59.5354,64.1448,71.4227
YOR150W,10.029,9.67421,14.7622,35.1455,34.1236,42.2108,50.0822,62.3059,47.9034,60.267,56.3252
YDR411C,10.6904,10.3309,13.5405,141.667,154.35,148,303.316,300.721,352.297,355.023,360.09
YDR524C,12.91,8.99044,12.7213,47.3808,37.617,52.3846,55.5462,55.781,64.3759,38.1833,43.1003
YOR033C,8.19962,8.23734,18.2001,93.7036,119.754,114.768,148.323,161.564,172.573,126.139,123.227
YGR283C,12.813,9.95743,11.9197,46.8292,48.7609,52.8059,45.5493,47.2302,57.3977,42.2383,45.823
YMR026C,13.0957,13.0716,8.7685,80.9926,84.4471,77.4118,93.8479,94.6716,98.3773,94.2481,94.0137
YMR243C,13.0473,12.3668,9.52223,158.296,166.54,168.108,259.675,306.267,295.224,330.99,300.326
YJR050W,14.4684,9.68603,10.8111,48.7556,67.0209,55.364,80.2579,79.9324,88.2389,70.8934,73.2001
YMR052W,11.8177,7.83766,15.386,32.3005,41.0698,32.5986,34.6177,40.3355,47.4619,36.5264,37.2749
YOR330C,11.2021,10.2274,13.6442,61.8254,56.1165,57.697,65.297,74.251,74.7381,50.0494,46.0615
YNL138W-A,11.7977,14.2341,9.16776,41.2248,26.9714,34.1619,48.3472,60.4797,45.7812,51.9807,44.8793
YIL135C,10.2285,12.4145,12.582,34.9416,31.4855,32.2183,52.3362,54.7812,54.7446,52.2529,48.9914
YEL070W,15.2312,6.56655,13.5322,148.439,163.489,165.619,548.575,567.398,588.365,1853.28,1820.45
YNL063W,14.4274,9.33723,11.6145,85.136,83.6372,72.1445,102.4,95.6908,114.703,88.0549,101.231
YDL067C,15.4347,10.0551,9.89635,31.1814,55.1394,40.1727,74.6898,58.2638,80.5014,61.8721,84.8069
YHL037C,12.2547,12.2334,10.9665,25.1823,25.0363,28.7708,41.3457,40.8429,38.0462,30.9801,31.5127
YCL069W,14.1431,8.87954,12.5272,29.4126,33.8549,34.6308,33.9283,34.1576,43.3369,36.6701,37.4006
YDR425W,8.63965,12.6699,14.4756,89.2439,97.0338,104.951,156.395,184.729,174.436,253.122,232.447
YPR030W,15.0453,7.59521,13.2352,21.7149,28.3268,27.1112,50.9818,49.5506,61.6173,83.5649,82.468
YLR375W,11.7266,13.7548,10.4597,59.4519,46.0969,67.6487,53.6149,71.0475,60.4131,64.7367,48.5445
YKL051W,12.5864,10.8411,12.5525,33.0777,37.3522,35.79,62.3168,58.8954,46.072,118.502,99.4333
