string_external_id	abundance
4932.YGR192C	25094
4932.YKL060C	19206
4932.YHR174W	18104
4932.YCR012W	15158
4932.YLR044C	13942
4932.YAL038W	11980
4932.YJL189W	11255
4932.YOL086C	10644
4932.YBR118W	9356
4932.YDR050C	8656
4932.YGR254W	8159
4932.YLR109W	7796
4932.YKL152C	7665
4932.YPR080W	7552
4932.YJR009C	7021
4932.YLR075W	6078
4932.YLR249W	5351
4932.YLL024C	5290
4932.YAL005C	5158
4932.YML028W	4814
4932.YJR123W	4616
4932.YOL040C	4346
4932.YLR355C	4279
4932.YMR116C	4013
4932.YPL061W	4010
4932.YDR155C	3825
4932.YNL178W	3780
4932.YER091C	3649
4932.YDR382W	3629
4932.YOR063W	3624
4932.YBR196C	3570
4932.YOR096W	3569
4932.YAL003W	3568
4932.YNL209W	3489
4932.YGL123W	3446
4932.YLR167W	3407
4932.YLL045C	3402
4932.YOL127W	3391
4932.YDL136W	3345
4932.YGL103W	3321
4932.YGL008C	3260
4932.YBL092W	3235
4932.YDR385W	3140
4932.YJL052W	3117
4932.YBR048W	3085
4932.YLR340W	3074
4932.YGL031C	3064
4932.YDL191W	3044
4932.YOR369C	3032
4932.YDL229W	3029
4932.YGR148C	2986
4932.YKL006W	2942
4932.YFL039C	2934
4932.YHL015W	2916
4932.YIL053W	2909
4932.YML063W	2892
4932.YLR029C	2886
4932.YDL055C	2874
4932.YHL033C	2858
4932.YDL075W	2853
4932.YPL131W	2818
4932.YBR031W	2810
4932.YGL147C	2807
4932.YIL069C	2804
4932.YOL039W	2763
4932.YGL253W	2753
4932.YJR104C	2743
4932.YDL081C	2738
4932.YHR203C	2708
4932.YDR450W	2703
4932.YGL135W	2655
4932.YLR061W	2615
4932.YER043C	2612
4932.YDR471W	2586
4932.YJL136C	2580
4932.YGL076C	2544
4932.YGR118W	2528
4932.YMR186W	2489
4932.YPL249C-A	2471
4932.YGR027C	2455
4932.YEL034W	2453
4932.YBR189W	2453
4932.YGR034W	2418
4932.YNL069C	2365
4932.YDR012W	2352
4932.YLR333C	2344
4932.YLR325C	2335
4932.YML024W	2285
4932.YDR025W	2277
4932.YKL180W	2258
4932.YDR226W	2252
4932.YDR064W	2252
4932.YPR132W	2236
4932.YHR183W	2230
4932.YFL014W	2224
