accession	input_id	cc_subunit
A0A0B7P3V8	A0A0B7P3V8	SUBUNIT: The protease is a homodimer, whose active site consists of two apposed aspartic acid residues. {ECO:0000250}.
D6VTK4	D6VTK4	SUBUNIT: Homodimer (PubMed:12194975, PubMed:16709573, PubMed:33268889, PubMed:34627767, PubMed:35296853). Might also for higher order homooligomers such as homotetramers (PubMed:10744981, PubMed:10982387, PubMed:12194975, PubMed:27993568, PubMed:34433281, PubMed:34627767). Oligomerization is mediated significantly by transmembrane domain 1 (TMD1), possibly in concert with the N-terminal extracellular domain and TMD2 (PubMed:35296853). Interaction with GPA1, its dedicated G-alpha protein (PubMed:28958779, PubMed:33268889). {ECO:0000269|PubMed:10744981, ECO:0000269|PubMed:10982387, ECO:0000269|PubMed:12194975, ECO:0000269|PubMed:16709573, ECO:0000269|PubMed:27993568, ECO:0000269|PubMed:28958779, ECO:0000269|PubMed:33268889, ECO:0000269|PubMed:34433281, ECO:0000269|PubMed:34627767, ECO:0000269|PubMed:35296853}.
O13297	O13297	SUBUNIT: Heterodimer (PubMed:3029058, PubMed:6389537). The mRNA-capping enzyme is composed of two separate chains alpha and beta, respectively a mRNA guanylyltransferase and an mRNA 5'-triphosphate monophosphatase (PubMed:12788946, PubMed:3029058, PubMed:6389537). {ECO:0000269|PubMed:12788946, ECO:0000269|PubMed:3029058, ECO:0000269|PubMed:6389537}.
O13329	O13329	SUBUNIT: Interacts with NSI1. {ECO:0000269|PubMed:22362748}.
O13516	O13516	SUBUNIT: Component of the small ribosomal subunit (SSU). Mature yeast ribosomes consist of a small (40S) and a large (60S) subunit. The 40S small subunit contains 1 molecule of ribosomal RNA (18S rRNA) and 33 different proteins (encoded by 57 genes). The large 60S subunit contains 3 rRNA molecules (25S, 5.8S and 5S rRNA) and 46 different proteins (encoded by 81 genes) (PubMed:22096102, PubMed:9559554). Interacts with snoRNA U3. uS11 interacts with MPP10. Component of the ribosomal small subunit (SSU) processome composed of at least 40 protein subunits and snoRNA U3 (PubMed:15590835). {ECO:0000269|PubMed:15590835, ECO:0000269|PubMed:22096102, ECO:0000305|PubMed:9559554}.
O13527	O13527	NA
O13535	O13535	SUBUNIT: The capsid protein forms a homotrimer, from which the VLPs are assembled. The protease is a homodimer, whose active site consists of two apposed aspartic acid residues (By similarity). {ECO:0000250}.
O13539	O13539	SUBUNIT: Component of the THO complex, which is composed of HPR1, MFT1, THO2 and THP2. Together with SUB2, TEX1 and YRA1, THO forms the transcription/export (TREX) complex. THO associates with DNA and RNA in vitro. {ECO:0000269|PubMed:11060033, ECO:0000269|PubMed:11979277}.
O13547	O13547	NA
O13563	O13563	SUBUNIT: Component of the 19S cap proteasome complex composed of at least RPN1, RPN2, RPN3, RPN4, RPN5, RPN6, RPN7, RPN8, RPN9, RPN10, RPN11, RPN12, RPN13, RPT1, RPT2, RPT3, RPT4, RPT5, and RPT6. The 19S subcomplex associates with the 20S proteasome subcomplex to form the functional 26S proteasome. {ECO:0000269|PubMed:11029046}.
O14467	O14467	SUBUNIT: Interacts with TBP and the transcription factor GCN4 (PubMed:9710580). Interacts with RPS3/us3 (PubMed:36583309). {ECO:0000269|PubMed:36583309, ECO:0000269|PubMed:9710580}.
O60200	O60200	SUBUNIT: Interacts with UPS1, UPS2 and UPS3. {ECO:0000269|PubMed:20622808, ECO:0000269|PubMed:20657548, ECO:0000269|PubMed:26071601, ECO:0000269|PubMed:26235513}.
