Position_n,Cell_ID,cell_area_pxl,cell_vol_vox,cell_area_um2,cell_vol_fl,solidity
Position_9,7,73,430.5883179,0.308425,0.118250318,0.960526316
Position_9,15,3030,116531.8594,12.80175,32.00255966,0.975217251
Position_9,20,975,21674.43555,4.119375,5.952341557,0.969184891
Position_9,24,2475,82620.26563,10.456875,22.68959045,0.979809976
Position_9,35,2396,86458.21875,10.1231,23.74358749,0.962635597
Position_9,43,3705,159538.2813,15.653625,43.81319809,0.973462953
Position_9,45,2369,84237.42969,10.009025,23.13370323,0.961054767
Position_9,59,1754,51910.62109,7.41065,14.25595379,0.965327463
Position_9,63,2087,67021.375,8.817575,18.40574455,0.966203704
Position_9,66,2261,77347.77344,9.552725,21.24163246,0.963768116
Position_9,69,1795,53963.89063,7.583875,14.8198328,0.961435458
Position_9,71,3189,125120.375,13.473525,34.36118317,0.963153126
Position_9,79,2397,79201.3125,10.127325,21.75065994,0.97320341
Position_9,89,1877,53466.42969,7.930325,14.683218,0.949898785
Position_9,92,2607,98155.78125,11.014575,26.9560318,0.981181784
Position_9,105,1746,52258.14453,7.37685,14.35139275,0.977603583
Position_9,107,2561,94047.625,10.820225,25.82782936,0.9715478
Position_9,115,1642,47022.37109,6.93745,12.91351891,0.967020024
Position_9,116,1370,35366.92969,5.78825,9.71264267,0.972320795
Position_9,117,2590,95737.39063,10.94275,26.29187965,0.975885456
Position_9,122,2250,77795.92188,9.50625,21.36470413,0.979965157
Position_9,157,1794,55910.375,7.57965,15.35438633,0.975530179
Position_9,166,1994,60772.39063,8.42465,16.68961716,0.97553816
Position_9,167,1760,55067.04688,7.436,15.12278748,0.974529347
Position_10,13,2676,101198.4375,11.3061,27.79162025,0.964324324
Position_10,15,2812,108752.4063,11.8807,29.86612892,0.957765668
Position_10,20,1775,50026.01563,7.499375,13.73839474,0.976347635
Position_10,25,1919,62588.07813,8.107775,17.1882515,0.975101626
Position_10,28,1655,49280.875,6.992375,13.53376007,0.970674487
Position_10,44,1103,25567.87109,4.660175,7.021576405,0.96754386
Position_10,55,1492,42573.46484,6.3037,11.69173717,0.975801177
Position_10,70,2024,67197.27344,8.5514,18.45405006,0.977305649
Position_10,80,2412,83990.17969,10.1907,23.06580353,0.89366432
Position_10,82,3641,162025.9844,15.383225,44.49638367,0.978763441
Position_10,107,1257,31349.99609,5.310825,8.609492302,0.978210117
Position_10,146,1741,52167.24609,7.355725,14.32642937,0.947225245
Position_11,17,3171,133625.4844,13.397475,36.69689941,0.941228851
Position_11,21,2452,88242.59375,10.3597,24.2336216,0.943802925
Position_11,23,1098,24549.49023,4.63905,6.741903782,0.96231376
Position_11,29,1815,56133.40625,7.668375,15.41563606,0.969551282
Position_11,34,2754,105880.6016,11.63565,29.07745934,0.933559322
Position_11,36,1362,35356.90625,5.75445,9.709890366,0.977745872
Position_11,53,3174,131300.625,13.41015,36.05843353,0.967093236
Position_11,58,2170,75072.29688,9.16825,20.61672974,0.973530731
Position_11,59,1084,25559.31445,4.5799,7.019226551,0.973944295
Position_11,62,2361,79136.69531,9.975225,21.73291397,0.973608247
Position_11,68,1518,43040.52734,6.41355,11.82000446,0.975578406
Position_11,72,1339,35899.86719,5.657275,9.85900116,0.975236708
Position_11,76,2041,65082.76563,8.623225,17.87335396,0.977022499
Position_11,81,2528,92611.25,10.6808,25.43336487,0.965253914
Position_11,102,1581,43624.33594,6.679725,11.98033333,0.978341584
Position_11,109,1417,38299.44531,5.986825,10.51798534,0.9600271
Position_11,112,2259,78818.90625,9.544275,21.64564133,0.974126779
Position_11,113,2781,104842.0313,11.749725,28.79224205,0.888782359
Position_11,116,912,19650.21875,3.8532,5.39644146,0.976445396
Position_11,123,3508,145988.8125,14.8213,40.09217834,0.952225841
Position_11,126,1351,36510.11719,5.707975,10.02659035,0.976861894
Position_11,129,2058,68092.26563,8.69505,18.69983864,0.973049645
Position_11,141,1204,30818.66797,5.0869,8.463576317,0.973322555
Position_11,144,3365,143651.9375,14.217125,39.45041275,0.975928074
Position_12,1,1432,37515.12891,6.0502,10.30259228,0.962365591
Position_12,3,3693,165904.6094,15.602925,45.56155396,0.966753927
Position_12,4,3118,127208.0078,13.17355,34.93449783,0.972551466
Position_12,5,1573,40106.43359,6.645925,11.01422882,0.974597274
Position_12,34,2129,65996.61719,8.995025,18.12432098,0.980202578
Position_12,50,2090,66959.75,8.83025,18.38882065,0.968489342
Position_12,53,2586,94727.84375,10.92585,26.01463318,0.966006724
Position_12,54,1729,51121.96875,7.305025,14.03937054,0.975733634
Position_12,58,2298,79073.82813,9.70905,21.71565056,0.978705281
Position_12,65,2490,91863.77344,10.52025,25.22808838,0.936442272
Position_12,83,1807,56317.09766,7.634575,15.46608257,0.968900804
Position_12,91,1765,51875.63281,7.457125,14.24634552,0.965008201
Position_12,97,2387,86770.44531,10.085075,23.82933235,0.974285714
Position_12,100,2929,115951.1875,12.375025,31.84309387,0.976333333
Position_12,105,1243,32084.39648,5.251675,8.811177254,0.97185301
Position_12,108,2621,97912.19531,11.073725,26.88913536,0.972902747
Position_12,111,2394,87483.14063,10.11465,24.02505684,0.975152749
Position_12,115,2258,77051.14063,9.54005,21.1601696,0.954353339
Position_12,116,2220,75384.65625,9.3795,20.70251083,0.971978984
