accession	input_id	mass
A0A0B7P3V8	A0A0B7P3V8	127189
D6VTK4	D6VTK4	47849
E9P8D2	E9P8D2	26233
O13297	O13297	61850
O13329	O13329	65318
O13516	O13516	22443
O13527	O13527	136732
O13535	O13535	202817
O13539	O13539	30299
O13547	O13547	23268
O13563	O13563	17902
O14467	O14467	16404
O60200	O60200	9712
O74700	O74700	10202
O94742	O94742	10386
P00044	P00044	12182
P00127	P00127	17257
P00128	P00128	14565
P00163	P00163	43656
P00175	P00175	65539
P00330	P00330	36849
P00331	P00331	36732
P00358	P00358	35847
P00359	P00359	35747
P00360	P00360	35750
P00401	P00401	58798
P00410	P00410	28567
P00420	P00420	30360
P00424	P00424	17140
P00431	P00431	40353
P00445	P00445	15855
P00546	P00546	34061
P00549	P00549	54545
P00560	P00560	44738
P00572	P00572	24687
P00635	P00635	52859
P00724	P00724	60639
P00729	P00729	59802
P00812	P00812	35662
P00815	P00815	87721
P00817	P00817	32300
P00830	P00830	54794
P00854	P00854	29099
P00890	P00890	53360
P00924	P00924	46816
P00925	P00925	46914
P00927	P00927	63831
P00937	P00937	53489
P00942	P00942	26795
P00950	P00950	27609
P00958	P00958	85678
P01094	P01094	7707
P01119	P01119	34347
P01120	P01120	34705
P01123	P01123	23214
P02293	P02293	14252
P02294	P02294	14237
P02309	P02309	11368
P02400	P02400	11050
P02406	P02406	16722
P02557	P02557	50923
P02829	P02829	81406
P02992	P02992	47972
P02994	P02994	50033
P03069	P03069	31310
P03870	P03870	48620
P03871	P03871	43231
P03873	P03873	49326
P03877	P03877	47917
P03878	P03878	63311
P03879	P03879	74580
P03962	P03962	29240
P03965	P03965	123915
P04037	P04037	17143
P04039	P04039	8907
P04050	P04050	191612
P04051	P04051	162301
P04147	P04147	64344
P04385	P04385	57944
P04386	P04386	99403
P04387	P04387	48323
P04397	P04397	78195
P04449	P04449	17614
P04456	P04456	15758
P04710	P04710	34121
P04786	P04786	89995
P04802	P04802	63516
P04806	P04806	53738
P04807	P04807	53942
P04817	P04817	65785
P04819	P04819	84828
P04821	P04821	179092
P04824	P04824	52102
P04840	P04840	30428
P04911	P04911	13989
P04912	P04912	13989
P05030	P05030	99619
P05066	P05066	66274
P05150	P05150	37845
P05317	P05317	33717
P05318	P05318	10908
P05319	P05319	10746
P05373	P05373	37740
P05374	P05374	101204
P05375	P05375	23150
P05453	P05453	76551
P05626	P05626	26925
P05737	P05737	27638
P05739	P05739	19986
P05740	P05740	20549
P05744	P05744	12154
P05745	P05745	11124
P05748	P05748	24422
P05750	P05750	26503
P05755	P05755	22299
P05756	P05756	17029
P05759	P05759	17216
P05986	P05986	45977
P06100	P06100	22363
P06101	P06101	58385
P06102	P06102	94403
P06103	P06103	88130
P06104	P06104	19706
P06105	P06105	134810
P06106	P06106	48672
P06115	P06115	64583
P06168	P06168	44368
P06169	P06169	61495
P06197	P06197	24824
P06208	P06208	68409
P06242	P06242	35247
P06243	P06243	58320
P06244	P06244	46076
P06245	P06245	44220
P06367	P06367	14537
P06634	P06634	65553
P06700	P06700	63262
P06701	P06701	111360
P06704	P06704	18751
P06738	P06738	103275
P06774	P06774	29867
P06777	P06777	126370
P06778	P06778	52404
P06779	P06779	63777
P06780	P06780	23152
P06781	P06781	21479
P06782	P06782	72045
P06784	P06784	57709
P06785	P06785	35047
P06786	P06786	164215
P06787	P06787	16135
P06838	P06838	24311
P06839	P06839	89786
P06843	P06843	38551
P06844	P06844	38800
P07143	P07143	34055
P07149	P07149	228691
P07170	P07170	24255
P07213	P07213	70123
P07244	P07244	86068
P07245	P07245	102205
P07246	P07246	40370
P07248	P07248	150941
P07249	P07249	19488
