#'chr'	'start'	'end'	'3225_EST_1_log2FC.bw'	'3225_EST_2_log2FC.bw'	'3225_EST_3_log2FC.bw'	'3225_EtOH_1_log2FC.bw'	'3225_EtOH_2_log2FC.bw'	'3225_EtOH_3_log2FC.bw'	'3229_EST_1_log2FC.bw'	'3229_EST_2_log2FC.bw'	'3229_EST_3_log2FC.bw'	'3229_EtOH_1_log2FC.bw'	'3229_EtOH_2_log2FC.bw'	'3229_EtOH_3_log2FC.bw'	'3506_EST_1_log2FC.bw'	'3506_EST_2_log2FC.bw'	'3506_EST_3_log2FC.bw'	'3506_EtOH_1_log2FC.bw'	'3506_EtOH_2_log2FC.bw'	'3506_EtOH_3_log2FC.bw'
III	1391	2135	-1.3583380012102024	-1.34598245082363	-1.2192660208671322	-1.7053345662291333	-1.4308136091437391	-1.9495240285832396	-0.9954076769531415	-1.6912555644589085	-1.0565835677167421	-1.5877254343801928	-1.1708784318739367	-1.9205750575629614	-1.455149842077686	-1.3634477855056846	-1.6377131964570733	-1.6403880411578762	-0.8984655967322729	-1.03627145495466
III	2125	2566	-1.34047041177209	-1.3507486447185075	-1.1344246773492723	-1.7683882196473968	-1.4574851215561502	-1.907627976346178	-1.1557257072725533	-1.5151132823658637	-1.0534391277771689	-1.3537295081988483	-0.7900766357542977	-1.9503368671789192	-1.2008957185983118	-1.2601695817614358	-1.3932973909269926	-1.6639478445593732	-1.4571840656046964	-1.2505764991518051
III	2823	3750	-1.143550951504013	-1.377184414066286	-1.1477754822312307	-1.7848805901816491	-1.5000802355933989	-2.188191884646781	-1.0899382635484878	-1.729155852185098	-1.0577351759423972	-1.5051308965220034	-1.0273238087420582	-1.9430001920352349	-1.061562559596929	-1.2456549783354824	-1.6634178400296866	-1.4939689337885753	-1.6997435441166322	-1.0363728227996003
III	6478	8326	-1.1554507221494401	-1.3117869187227058	-1.1897681078353486	-1.721337098786325	-1.5892821103463441	-1.8505441630557502	-1.1338903813135057	-1.6983698285503304	-1.0645240288276177	-1.3878906334633436	-1.1241286380982503	-1.8690802788837648	-0.9234887083887539	-1.2061036609468005	-1.4456662452582159	-1.6330303546154137	-1.5203070364473186	-0.9736836898894538
III	9705	11082	-1.337373602831805	-1.301258484487873	-1.1871007971254568	-1.5486794249424487	-1.394896519106198	-1.7452664452180882	-1.212185301881124	-1.6210661548068752	-0.9804768754159876	-1.3250236737009573	-0.9909871948397325	-1.678540130620775	-0.9488778913549176	-1.057328859895749	-1.2161636047806528	-1.5319224241252558	-1.021147931412068	-1.0938160907382453
III	11502	12285	-0.5007221496577159	-0.7083655211584473	-0.4855516476953928	-0.8894753047485158	-0.8094172208245229	-1.014160401062947	-0.7197506746874307	-0.8100124074429235	-0.4827694624624338	-0.7607692861313411	-0.6259376352317488	-0.8128425074110848	-0.6191362771865737	-0.48292414383869975	-0.23075709951943976	-0.9132008540371521	-1.239172788232679	-0.7384546758266852
III	12385	13018	-0.6588157447405147	-0.6711149660896916	-0.5932081260952339	-0.9765719260084685	-0.8024784806780341	-1.1561358082727609	-0.6768101580711714	-0.899586117851414	-0.7121136061199845	-0.838493543401902	-0.6149290348492904	-0.9989583551036237	-0.49228306905164915	-0.8761901856975345	-0.6077525938856658	-1.046619245038025	0.3602977782440788	-0.899620736379759
III	13281	13809	-1.3233228273463973	-1.1588438139663952	-0.9497384177690203	-1.454003611037677	-1.1076631793470095	-1.5497032605337373	-0.9258074578462225	-1.6394008751845723	-0.7346363662092975	-1.4583898219646831	-0.8960886892044183	-1.4386139437104715	-0.9211055079644377	-0.9452149201071623	-1.0966030763857293	-1.1821104683659294	-0.8372233462153059	-0.7802952900528909
III	13750	14119	-0.7576153217615473	-0.5813271072821888	-0.5798484665268482	-0.6933144540967657	-0.8767419106915069	-1.0418320048469192	-0.6269382626706669	-0.8927088559158449	-0.4661403438909267	-0.8492468976069919	-0.6799449835366349	-1.1268002037110367	-0.7449063130510531	-0.6645679613439047	-0.4275087175653556	-1.0112643378859936	0.2872911346637137	-0.6329986262127636
III	15797	16880	-0.8752114423644399	-0.9737244709046594	-0.744930816819463	-1.1468248369070742	-1.0082082003437582	-1.2127100230364039	-0.7511044855813461	-1.1438973929633285	-0.5700390109064837	-0.7771563315985937	-0.7170563795559954	-1.1905812967076745	-0.6308813526579768	-0.6428898284309789	-0.7253270468883567	-0.9561230358324554	-0.6943869655922619	-0.7717925872168713
